gene,cad,int,cat
ACTN1,TRUE,TRUE,Both
CFL1,FALSE,TRUE,Integrin
CORO1B,FALSE,TRUE,Integrin
CTTN,TRUE,TRUE,Both
FLNA,FALSE,TRUE,Integrin
KEAP1,TRUE,TRUE,Both
LASP1,FALSE,TRUE,Integrin
ENAH,TRUE,TRUE,Both
NEXN,FALSE,TRUE,Integrin
SVIL,TRUE,TRUE,Both
VASP,TRUE,TRUE,Both
CORO2A,FALSE,TRUE,Integrin
ACTB,TRUE,TRUE,Both
JUB,TRUE,TRUE,Both
SORBS2,FALSE,TRUE,Integrin
BCAR1,FALSE,TRUE,Integrin
CAV1,FALSE,TRUE,Integrin
SMPX,FALSE,TRUE,Integrin
SH3KBP1,FALSE,TRUE,Integrin
CRK,FALSE,TRUE,Integrin
CRKL,FALSE,TRUE,Integrin
EZR,TRUE,TRUE,Both
FHL2,FALSE,TRUE,Integrin
GAB1,FALSE,TRUE,Integrin
GRB2,FALSE,TRUE,Integrin
GRB7,FALSE,TRUE,Integrin
HAX1,FALSE,TRUE,Integrin
NEDD9,FALSE,TRUE,Integrin
CASS4,FALSE,TRUE,Integrin
TGFB1I1,FALSE,TRUE,Integrin
ITGB1BP1,FALSE,TRUE,Integrin
FERMT1,FALSE,TRUE,Integrin
FERMT2,FALSE,TRUE,Integrin
FERMT3,FALSE,TRUE,Integrin
LPXN,FALSE,TRUE,Integrin
PPFIA1,FALSE,TRUE,Integrin
LPP,TRUE,TRUE,Both
NF2,TRUE,TRUE,Both
FBLIM1,TRUE,TRUE,Both
MSN,TRUE,TRUE,Both
NCK2,FALSE,TRUE,Integrin
PALLD,TRUE,TRUE,Both
PARVA,FALSE,TRUE,Integrin
PARVB,FALSE,TRUE,Integrin
PXN,FALSE,TRUE,Integrin
LIMS1,FALSE,TRUE,Integrin
LIMS2,FALSE,TRUE,Integrin
GNB2L1,FALSE,TRUE,Integrin
RDX,TRUE,TRUE,Both
OSTF1,FALSE,TRUE,Integrin
NUDT16L1,FALSE,TRUE,Integrin
SYNM,FALSE,TRUE,Integrin
SDCBP,TRUE,TRUE,Both
TLN1,TRUE,TRUE,Both
TNS1,FALSE,TRUE,Integrin
TES,FALSE,TRUE,Integrin
TRIP6,TRUE,TRUE,Both
VCL,TRUE,TRUE,Both
SORBS3,TRUE,TRUE,Both
LDB3,FALSE,TRUE,Integrin
ZYX,TRUE,TRUE,Both
NDEL1,FALSE,TRUE,Integrin
SH2B1,FALSE,TRUE,Integrin
TENC1,FALSE,TRUE,Integrin
ZFYVE21,FALSE,TRUE,Integrin
SLC3A2,FALSE,TRUE,Integrin
KTN1,FALSE,TRUE,Integrin
LRP1,FALSE,TRUE,Integrin
PVR,FALSE,TRUE,Integrin
SDC4,FALSE,TRUE,Integrin
ITGA1,FALSE,TRUE,Integrin
ITGA2,FALSE,TRUE,Integrin
ITGA3,TRUE,TRUE,Both
ITGA4,FALSE,TRUE,Integrin
ITGA5,FALSE,TRUE,Integrin
ITGA6,FALSE,TRUE,Integrin
ITGA7,FALSE,TRUE,Integrin
ITGA8,FALSE,TRUE,Integrin
ITGA9,FALSE,TRUE,Integrin
ITGA10,FALSE,TRUE,Integrin
ITGA11,FALSE,TRUE,Integrin
ITGAD,FALSE,TRUE,Integrin
ITGAE,FALSE,TRUE,Integrin
ITGAL,FALSE,TRUE,Integrin
ITGAM,FALSE,TRUE,Integrin
ITGAV,FALSE,TRUE,Integrin
ITGAW,FALSE,TRUE,Integrin
ITGAX,FALSE,TRUE,Integrin
ITGB1,TRUE,TRUE,Both
ITGB2,FALSE,TRUE,Integrin
ITGB3,FALSE,TRUE,Integrin
ITGB4,FALSE,TRUE,Integrin
ITGB5,FALSE,TRUE,Integrin
ITGB6,FALSE,TRUE,Integrin
ITGB7,FALSE,TRUE,Integrin
ITGB8,FALSE,TRUE,Integrin
NRP1,FALSE,TRUE,Integrin
NRP2,FALSE,TRUE,Integrin
CD151,TRUE,TRUE,Both
PDE4D,FALSE,TRUE,Integrin
PKD1,TRUE,TRUE,Both
TRPM7,FALSE,TRUE,Integrin
CALR,FALSE,TRUE,Integrin
DDEF1,FALSE,TRUE,Integrin
ASAP3,FALSE,TRUE,Integrin
GIT1,FALSE,TRUE,Integrin
GIT2,FALSE,TRUE,Integrin
ARHGAP26,FALSE,TRUE,Integrin
GRLF1,FALSE,TRUE,Integrin
ASAP2,FALSE,TRUE,Integrin
ARHGAP24,FALSE,TRUE,Integrin
DLC1,TRUE,TRUE,Both
AGAP2,FALSE,TRUE,Integrin
STARD13,FALSE,TRUE,Integrin
RASA1,FALSE,TRUE,Integrin
DEF6,FALSE,TRUE,Integrin
DOCK1,FALSE,TRUE,Integrin
ELMO1,FALSE,TRUE,Integrin
ARHGEF6,FALSE,TRUE,Integrin
ARHGEF7,FALSE,TRUE,Integrin
DNM2,FALSE,TRUE,Integrin
RHOU,FALSE,TRUE,Integrin
PLCG1,FALSE,TRUE,Integrin
INPP5D,FALSE,TRUE,Integrin
INPPL1,FALSE,TRUE,Integrin
ITGB3BP,FALSE,TRUE,Integrin
RAVER1,FALSE,TRUE,Integrin
STAT3,FALSE,TRUE,Integrin
SPTLC1,FALSE,TRUE,Integrin
ILK,TRUE,TRUE,Both
PAK1,TRUE,TRUE,Both
PDPK1,FALSE,TRUE,Integrin
PRKCA,FALSE,TRUE,Integrin
PPM1M,FALSE,TRUE,Integrin
PPM1F,FALSE,TRUE,Integrin
PPP2CA,TRUE,TRUE,Both
ABL1,TRUE,TRUE,Both
CSK,TRUE,TRUE,Both
PTK2,FALSE,TRUE,Integrin
PTK2B,TRUE,TRUE,Both
SRC,TRUE,TRUE,Both
PEAK1,FALSE,TRUE,Integrin
PTPRF,TRUE,TRUE,Both
PTPN12,TRUE,TRUE,Both
PTPRA,FALSE,TRUE,Integrin
PTPN6,TRUE,TRUE,Both
PTPN11,TRUE,TRUE,Both
PRNP,FALSE,TRUE,Integrin
MYH9,TRUE,TRUE,Both
MACF1,FALSE,TRUE,Integrin
ARPC2,FALSE,TRUE,Integrin
MARCKS,FALSE,TRUE,Integrin
PFN1,FALSE,TRUE,Integrin
ABI1,TRUE,TRUE,Both
ABI2 ,FALSE,TRUE,Integrin
ABI3,FALSE,TRUE,Integrin
ANKRD28,FALSE,TRUE,Integrin
CSRP1,FALSE,TRUE,Integrin
IRS1,FALSE,TRUE,Integrin
MAPK8IP3,FALSE,TRUE,Integrin
PLEC,FALSE,TRUE,Integrin
SORBS1,TRUE,TRUE,Both
SHC1,TRUE,TRUE,Both
MYOM1,FALSE,TRUE,Integrin
TSPAN1,FALSE,TRUE,Integrin
TUBA1B,TRUE,TRUE,Both
VIM,TRUE,TRUE,Both
SHARPIN,FALSE,TRUE,Integrin
FABP3,FALSE,TRUE,Integrin
NISCH,FALSE,TRUE,Integrin
CIB1,FALSE,TRUE,Integrin
CIB2,FALSE,TRUE,Integrin
SRCIN1,FALSE,TRUE,Integrin
ADAM12,FALSE,TRUE,Integrin
CEACAM1,FALSE,TRUE,Integrin
ENG,FALSE,TRUE,Integrin
CD47,FALSE,TRUE,Integrin
LAYN,FALSE,TRUE,Integrin
SIRPA,FALSE,TRUE,Integrin
THY1,FALSE,TRUE,Integrin
PLAUR,FALSE,TRUE,Integrin
KCNH2,FALSE,TRUE,Integrin
SLC16A3,FALSE,TRUE,Integrin
SLC9A1,FALSE,TRUE,Integrin
HSPB1,FALSE,TRUE,Integrin
HSPA2,FALSE,TRUE,Integrin
CBL,FALSE,TRUE,Integrin
RNF5,FALSE,TRUE,Integrin
RNF185,FALSE,TRUE,Integrin
ARHGAP5,TRUE,TRUE,Both
ARHGAP32,TRUE,TRUE,Both
BCAR3,FALSE,TRUE,Integrin
RAPGEF1,TRUE,TRUE,Both
SOS1,FALSE,TRUE,Integrin
TIAM1,TRUE,TRUE,Both
TRIO,TRUE,TRUE,Both
VAV1,FALSE,TRUE,Integrin
VAV2,FALSE,TRUE,Integrin
VAV3,FALSE,TRUE,Integrin
ARHGEF12,FALSE,TRUE,Integrin
ARHGEF2,FALSE,TRUE,Integrin
CYTH2,FALSE,TRUE,Integrin
ARF1,FALSE,TRUE,Integrin
HRAS,FALSE,TRUE,Integrin
RAC1,TRUE,TRUE,Both
RHOA,TRUE,TRUE,Both
PLD1,FALSE,TRUE,Integrin
CAPN1,TRUE,TRUE,Both
CAPN2,FALSE,TRUE,Integrin
CASP8,FALSE,TRUE,Integrin
MMP14,FALSE,TRUE,Integrin
PIK3CA,TRUE,TRUE,Both
PIP5K1C,TRUE,TRUE,Both
PTEN,TRUE,TRUE,Both
PABPC1,FALSE,TRUE,Integrin
SSH1,FALSE,TRUE,Integrin
AKT1,FALSE,TRUE,Integrin
