,N4_2,N4_3,N4_4,N7_2,N7_3,N7_4,N9_2,N9_3,N9_4
WASH7P,173,165,194,188,221,245,312,307,163
LOC729737,31,45,24,33,105,37,39,33,25
TGIF1,1269,1001,1476,1872,982,1630,889,709,687
PRDX6,5622,4394,7023,9144,6017,9190,9384,7799,7218
CIC,600,704,654,1187,1705,1144,1113,990,780
LOC100133331,7,11,4,19,16,13,9,10,6
LOC100288069,25,34,34,41,47,49,45,49,22
FAM87B,13,9,24,23,16,10,22,15,20
LINC00115,50,38,53,51,39,53,54,59,53
LINC01128,213,214,264,389,286,397,384,327,288
FAM41C,1,0,0,0,0,0,0,0,0
LINC02593,26,36,40,107,85,103,99,67,40
PLEC,5057,5084,5590,8812,11695,9231,7120,7496,5531
PLEKHN1,272,260,291,461,423,435,396,377,266
MPP2,624,592,792,1328,1370,1236,1198,980,908
ELN,1,0,0,0,0,0,0,0,1
SEPTIN12,0,0,2,1,1,3,3,1,1
RBM19,831,832,1044,1280,1193,1413,1350,1196,1063
CCDC120,106,87,93,157,237,146,166,166,138
INO80D,1034,1329,966,914,1289,936,858,747,657
CCDC34,490,338,517,711,427,675,832,708,642
C12orf43,324,223,401,529,353,501,483,422,392
LOC100288175,25,22,22,60,46,46,28,23,25
CCDC169,0,0,0,0,0,0,0,0,0
RAD17,98,81,245,229,56,106,143,97,126
SH2D3C,8,4,6,11,13,10,8,5,1
ZNF41,434,355,526,660,552,749,394,350,306
VIL1,6,2,5,9,5,15,29,11,17
MDK,4,10,6,16,17,10,27,25,17
ALOX15B,0,0,0,1,2,1,2,1,0
SLC25A1,1253,1055,1492,2291,1828,2229,1952,1620,1447
DUSP9,370,265,305,647,368,561,1026,778,685
UQCC3,268,207,324,368,210,402,468,386,277
MORC4,337,317,451,794,636,728,616,484,471
SCNN1D,86,71,74,161,156,118,96,103,95
MRTFB,606,945,654,899,1401,1004,791,727,581
SNORD167,3,13,4,12,21,13,11,22,15
PUSL1,295,251,293,620,425,501,581,541,444
MSRB3,3149,2830,3703,5691,4015,5510,4391,3651,3393
FGFR3,45,49,52,658,580,537,946,803,700
EWSR1,4990,4080,5920,7647,5143,7572,7025,6464,5404
TMA7,3486,2297,3858,4659,2285,4086,4999,4161,3640
NUPR1,28,8,23,13,5,15,5,2,5
OSTF1,229,196,307,662,388,578,575,487,390
ORC3,1247,1006,1540,1886,1304,1757,1782,1404,1382
MXRA8,38,21,49,18,11,18,2,3,4
SERPINC1,0,2,0,0,2,2,0,0,0
SPRED2,488,607,592,760,959,817,747,677,642
AK8,10,11,18,22,35,26,17,10,12
GALNS,465,355,528,678,566,730,554,441,356
FBXW8,164,174,208,391,348,364,302,254,218
IKBKG,53,25,64,97,90,103,87,70,44
PSME1,1299,1002,1701,2344,1538,2380,2133,1697,1630
SETDB1,882,844,1126,1677,1260,1827,1592,1310,1214
MRPL20-AS1,337,266,437,494,386,601,576,509,483
PAQR3,407,369,468,606,374,570,494,403,389
LINC01770,13,10,11,20,31,20,23,25,14
CARD8,281,249,345,264,226,262,262,252,220
PPIP5K2,1507,1348,1857,3783,2403,3446,3052,2337,2192
