gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DDX11L1,5.710125469,-0.836754548,1.149608154,-0.727860658,0.466698888,0.685787051
WASH7P,1982.429541,0.135648512,0.130859325,1.036597983,0.299923254,0.52911805
LOC729737,262.6888655,0.243310799,0.33189127,0.733103943,0.463495035,0.682840795
LOC102725121,5.848517264,0.136188495,1.087415488,0.125240533,0.900333129,0.955261635
TGIF1,1817.92141,-0.277186249,0.170810782,-1.622767876,0.104639035,0.266871452
PRDX6,6268.605437,0.015143907,0.167957616,0.09016505,0.928156058,0.96892383
LOC101928626,3.491853112,0.085449035,1.015582784,0.084137932,0.932946766,0.971314321
CIC,1300.316782,0.57348863,0.257352094,2.228420298,0.025852501,0.096395397
LOC100133331,230.6816312,0.228613284,0.331587084,0.689451715,0.490539049,0.705382085
LOC100288069,214.2899258,-0.004040399,0.297523161,-0.013580115,0.989164969,0.997109291
FAM87B,31.08168366,-0.211663447,0.354461997,-0.59714003,0.550413894,0.750576794
LINC00115,71.87360402,-0.463908742,0.222489317,-2.085083223,0.037061747,0.126654575
LINC01128,462.168862,0.137434993,0.175085594,0.784958888,0.432477674,0.65430006
FAM41C,11.94842591,0.021524484,0.591268828,0.036403888,0.970960314,0.990453361
LINC02593,89.3523736,1.034350875,0.310431916,3.331973358,0.000862325,0.005883173
PLEC,8010.474935,0.448486021,0.196716232,2.279862809,0.022615826,0.087180448
PLEKHN1,267.8747809,0.177913499,0.306442152,0.580577762,0.561525063,0.757783578
MPP2,1569.747875,0.492433056,0.605586029,0.813151283,0.416131327,0.641264398
RBM19,1114.968341,0.029037391,0.138605288,0.20949699,0.834060285,0.921916725
CCDC120,133.7676725,0.44439584,0.250495473,1.77406735,0.076052011,0.214117456
INO80D,1134.392756,-0.576055397,0.25821001,-2.230956879,0.025683986,0.095853609
CCDC34,482.5015385,-0.082308445,0.182209457,-0.451724333,0.651467586,0.820318767
C12orf43,348.8559732,0.062783837,0.21859992,0.287208873,0.773952393,0.893241532
LOC100288175,69.1379401,0.665506203,0.285759237,2.328905301,0.019864083,0.079192849
LILRB5,6.342946666,3.182477801,1.315257064,2.419662201,0.015534931,0.065178051
RAD17,1129.680831,-0.132129375,0.148937616,-0.887145764,0.375000428,0.602864207
SH2D3C,14.64753197,0.458214168,0.72734667,0.62998043,0.528707388,0.73471064
ZNF41,743.9485729,0.078992107,0.16511988,0.478392467,0.632370894,0.807640869
VIL1,6.122614179,0.656490932,0.691486521,0.949390787,0.342421894,0.573120362
MDK,26.45041129,0.616245324,0.541891856,1.137210898,0.255450132,0.47960051
