Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	67	5.478331970564186	4.5394047040844934E-10	SRPX, PCDHGB7, PTPRS, ITGAM, ITGB5, CTNND2, TNC, PTPRM, ARHGAP5, RND3, CLDN1, PTPRF, ALCAM, CLDN23, CYP1B1, NRCAM, CCN1, PCDHAC1, PCDHGA7, POSTN, ITGA4, ITGA2, ITGA1, PRKCA, PCDHA11, MTSS1, VCAN, COL6A2, ADGRB1, ANOS1, PCDHGB1, MXRA8, COL6A3, DSG2, ITGA6, JCAD, DDR2, TNXB, AMIGO3, LAMA1, AMIGO2, PBXIP1, THBS1, AGER, PODXL, CHST10, ADAM23, NCAM1, SUSD5, PCDH1, SEMA4D, FN1, PCDHB14, PCDHB13, PTPRD, KITLG, COL5A1, PCDHB2, FAT1, ACKR3, PCDHB5, PCDHB4, PCDHB3, IGSF9B, HPSE, CD24, PCDHB7	1045	543	19416	2.2925480451505456	1.9569353258974687E-6	1.9569373679308252E-6	1.9346942848808112E-6
GOTERM_BP_DIRECT	GO:0007411~axon guidance	33	2.698282910874898	1.0694128490137794E-8	RET, CYFIP2, SEMA7A, SEMA3C, EPHA10, SEMA3D, SEMA3A, MYCBP2, SEMA3G, SEMA3E, KALRN, PTPRF, GLI3, GLI2, GBX2, TUBB3, KIF5C, NKX2-1, NRCAM, EMB, EPHB2, ARHGEF40, EPHB1, NGFR, SEMA6A, SEMA4D, WNT5A, SEMA4C, PAX6, BMP7, EFNA2, ANOS1, MATN2	1045	192	19416	3.1934210526315794	4.6101325389069636E-5	2.3051193960492016E-5	2.278918781248364E-5
GOTERM_BP_DIRECT	GO:0030501~positive regulation of bone mineralization	15	1.2264922322158627	2.8026978257309677E-8	TFAP2A, FBN2, ACVR1, PKDCC, BMPR2, SMAD3, ADGRV1, ATP2B1, BMP7, ACVR2A, BMP4, FAM20C, CCN1, GPM6B, WNT4	1045	43	19416	6.48136196728608	1.2081700615507174E-4	4.0274767755754006E-5	3.9816993777551284E-5
GOTERM_BP_DIRECT	GO:0001755~neural crest cell migration	15	1.2264922322158627	7.371852127157043E-8	ACVR1, RET, SEMA7A, SEMA6A, SEMA4D, SEMA3C, SEMA3D, SEMA3A, SEMA4C, SEMA3G, PAX6, SEMA3E, KITLG, GBX2, RADIL	1045	46	19416	6.058664447680466	3.177500637356889E-4	7.945013630043503E-5	7.85470844148583E-5
GOTERM_BP_DIRECT	GO:0060391~positive regulation of SMAD protein signal transduction	14	1.1447260834014716	1.729494609404806E-7	ACVR1, TGFB2, BMPR2, SMAD3, HFE, INHBA, GDF6, BMP7, ACVR2A, TGFBR2, BMP5, BMP4, PSG9, DAB2	1045	42	19416	6.193301435406699	7.453073111635122E-4	1.491170252228824E-4	1.4742212050566567E-4
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription by RNA polymerase II	140	11.447260834014719	5.962377936022407E-7	FOXA1, ATF2, CCNT2, FOXI3, ZBTB21, RORC, JMJD1C, IKZF1, AHR, RORB, HOXA13, CARF, ERFL, ZSCAN31, SALL3, EPC2, ZNF568, ZNF600, ZFP37, ZNF564, ZNF442, EOMES, HES7, MAMSTR, ZFP2, ARID5B, MITF, EBF4, ZNF14, RUNX1, MYCL, HOXB2, LMX1B, ATF5, TOX, ZNF157, PPIC, DLX1, TSHZ3, TSHZ2, TWIST1, BAZ2B, NPAS2, NPAS3, ZNF829, ZNF704, TTC21B, ZKSCAN8, HIVEP1, NKX2-1, HMOX1, HOXC9, HOXC8, HOXC6, ZSCAN18, BARD1, TFAP2A, ZBTB18, ZNF142, JUN, EGR2, ZFHX2, SMAD3, ZNF260, NFATC1, INHBA, ZFHX4, PBX1, SMAD7, SP3, ZNF415, HOXD9, ZNF772, NFE2L2, TP73, ECM1, CSRNP3, CHD5, TFCP2L1, MED16, HOXC10, GLI3, GLI2, DUSP10, PPP1R13L, SIX2, ZNF280C, ZNF41, HEY2, ZNF525, ZNF484, ZNF880, FOXD3, BATF3, TSC22D1, DUSP28, PAX6, KLF14, ZFP90, DUSP6, ZEB2, CREB1, NR5A2, PAX9, ZNF878, ZNF514, JDP2, IRF9, HMX1, SP100, CEBPB, PPM1L, MYRF, SATB1, ZNF518B, ZNF2, HOXD13, NTN1, FSTL3, PDLIM1, ZFP14, GBX2, NFIL3, ZNF627, ZNF345, ZNF101, HES4, ARNT2, TCF7L1, PRRX1, NFYA, PCGF5, STAT1, DMRT2, ARID3C, TBX3, TBX2, ZNF615, ZNF852, ZNF697	1045	1721	19416	1.5114390487337672	0.0025670812914122543	3.9218820452897857E-4	3.8773048659301943E-4
GOTERM_BP_DIRECT	GO:0007399~nervous system development	51	4.170073589533932	6.368168479941661E-7	PCDHGB7, VLDLR, PPP1R9A, PTPRF, EPHB2, EPHB1, PCDHAC1, PCDHGA7, SEMA6A, ADGRV1, VPS13A, PAX6, GFRA1, PCDHA11, TGFBR2, OLFM1, ZEB2, NAV3, PCDHGB1, HOXB2, PRKD1, RAPGEF5, SEMA7A, KALRN, ATXN3, ATXN1, GBX2, PCDH1, SCN3B, GPM6B, HES4, TFAP2A, FN1, CRIM1, CABLES1, PCDHB13, INHBA, ARHGAP26, MERTK, PTPRD, PCDHB2, NOVA1, PLXNB3, CCNYL1, CSPG5, PCDHB5, PCDHB4, PCDHB3, IGSF9B, SCN2A, PCDHB7	1045	444	19416	2.134178197336092	0.0027415533658055047	3.9218820452897857E-4	3.8773048659301943E-4
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription by RNA polymerase II	107	8.748977923139819	1.471786661324067E-6	FOXA1, ATF2, CCNT2, CRTC1, AHR, RORB, HOXA13, CARF, SOX3, SOX1, SOX9, ZNF600, CCN1, ACVR1, EOMES, MLIP, LMO4, MAMSTR, ZBTB38, WNT5A, MITF, EBF4, RUNX1, ARMCX3, HOXB2, LMX1B, PRKD1, ATF5, TOX, DLX1, GATA6, TWIST1, HIVEP1, NKX2-1, TP53BP1, S100A10, TFAP2A, ZBTB18, JUN, EGR2, SMAD3, FZD5, AUTS2, LIF, NFATC1, INHBA, BMP7, PBX1, BMP5, BMP4, DAB2, SP3, HOXD9, NFE2L2, TP73, TOP2A, BMPR2, CSRNP3, SLC40A1, CHD6, TFCP2L1, HOXC10, GLI3, GLI2, PPP3CA, ZIC3, SIX2, HEY2, ZNF484, FOXD3, TSC22D1, IL18, PAX6, KLF14, DCN, SENP1, ZEB2, CREB1, NR5A2, PAX9, ITGA6, PTMA, IRF9, SP100, CEBPB, HOXD13, DLL1, FSTL3, GBX2, P2RY1, SF3B1, ZNF345, ZNF462, ARNT2, PRRX1, NFYA, PCGF5, STAT1, DMRT2, MEIS3, ARID3C, TBX3, ACVR2A, TBX2, ZNF219, ZNF615, CRLF3	1045	1246	19416	1.595545554386477	0.00632479073825698	7.931090371210066E-4	7.840943438203967E-4
GOTERM_BP_DIRECT	GO:0060021~roof of mouth development	16	1.3082583810302535	2.036765406596879E-6	GABRB3, TFAP2A, PKDCC, PRRX1, INSIG2, TIPARP, TWIST1, ARID5B, INHBA, TBX3, GLI3, TGFBR2, TBX2, FRAS1, SUMO1, EPHB2	1045	67	19416	4.436992073127187	0.008742068557218485	9.75610629759905E-4	9.645215736573219E-4
GOTERM_BP_DIRECT	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	27	2.2076860179885527	2.413371927904389E-6	RET, PCDHGB7, CLSTN3, AMIGO2, PTPRM, CELSR1, PTPRF, ME1, EMB, PCDH1, PCDHAC1, PCDHGA7, CADM4, PCDHB14, PCDHB13, PCDHA11, PCDHB2, FAT1, PCDHGB1, PLXNB3, PCDHB5, PCDHB4, DSG2, PCDHB3, NECTIN3, SDK2, PCDHB7	1045	175	19416	2.8666138072453866	0.010350123923997367	0.0010404046381195821	0.0010285791156728506
