"term_id","term_name","source","p_value","intersection_size","term_size","precision","recall"
"GO:0048731","system development","GO:BP",4.80412363819564e-16,315,2965,0.29773156899811,0.106239460370995
"GO:0009653","anatomical structure morphogenesis","GO:BP",5.47394080415229e-16,232,1970,0.219281663516068,0.117766497461929
"GO:0048856","anatomical structure development","GO:BP",2.80662733977228e-15,410,4263,0.387523629489603,0.0961764015951208
"GO:0032501","multicellular organismal process","GO:BP",2.29336699643282e-14,443,4769,0.418714555765595,0.0928915915286223
"GO:0032502","developmental process","GO:BP",2.29336699643282e-14,432,4623,0.408317580340265,0.0934458144062297
"GO:0007275","multicellular organism development","GO:BP",2.18943225095095e-13,341,3460,0.322306238185255,0.0985549132947977
"GO:0048513","animal organ development","GO:BP",9.13169850717436e-11,229,2166,0.216446124763705,0.105724838411819
"GO:0009887","animal organ morphogenesis","GO:BP",1.33882587506971e-10,103,729,0.0973534971644612,0.141289437585734
"GO:0007399","nervous system development","GO:BP",2.51183914161531e-10,211,1970,0.199432892249527,0.107106598984772
"GO:0009888","tissue development","GO:BP",1.03971860832444e-08,161,1441,0.152173913043478,0.111727966689799
"GO:0065007","biological regulation","GO:BP",4.16499087786122e-08,672,8593,0.6351606805293,0.0782031886419178
"GO:0030182","neuron differentiation","GO:BP",4.76775695670633e-08,129,1098,0.121928166351607,0.117486338797814
"GO:0050789","regulation of biological process","GO:BP",6.29132257665935e-08,654,8337,0.618147448015123,0.0784454839870457
"GO:0016477","cell migration","GO:BP",7.02615972520795e-08,127,1084,0.120037807183365,0.117158671586716
"GO:0030334","regulation of cell migration","GO:BP",9.61366512378408e-08,90,680,0.0850661625708885,0.132352941176471
"GO:0048869","cellular developmental process","GO:BP",1.62769285567151e-07,286,3097,0.270321361058601,0.0923474329996771
"GO:0030154","cell differentiation","GO:BP",1.62769285567151e-07,286,3096,0.270321361058601,0.0923772609819122
"GO:0050793","regulation of developmental process","GO:BP",3.73139940843205e-07,185,1818,0.174858223062382,0.101760176017602
"GO:0050794","regulation of cellular process","GO:BP",3.73139940843205e-07,633,8099,0.598298676748582,0.0781577972589209
"GO:0048699","generation of neurons","GO:BP",3.73139940843205e-07,131,1164,0.123818525519849,0.11254295532646
