"term_id","term_name","source","p_value","intersection_size","term_size","precision","recall"
"GO:0032501","multicellular organismal process","GO:BP",5.23106170153506e-09,479,4769,0.391339869281046,0.100440343887607
"GO:0050896","response to stimulus","GO:BP",1.02102881113536e-07,564,5922,0.46078431372549,0.0952380952380952
"GO:0048731","system development","GO:BP",1.66378258964445e-07,316,2965,0.258169934640523,0.106576728499157
"GO:0035295","tube development","GO:BP",1.75435703181413e-07,116,825,0.0947712418300654,0.140606060606061
"GO:0007275","multicellular organism development","GO:BP",5.13677427047638e-07,355,3460,0.290032679738562,0.102601156069364
"GO:0009653","anatomical structure morphogenesis","GO:BP",7.2542189874619e-07,223,1970,0.18218954248366,0.113197969543147
"GO:0009605","response to external stimulus","GO:BP",7.81014911026677e-07,179,1499,0.14624183006536,0.119412941961308
"GO:0023052","signaling","GO:BP",1.3610396560418e-06,425,4336,0.347222222222222,0.0980166051660517
"GO:0035239","tube morphogenesis","GO:BP",1.7701274791948e-06,95,664,0.0776143790849673,0.143072289156627
"GO:0007165","signal transduction","GO:BP",1.9032114744768e-06,394,3984,0.321895424836601,0.0988955823293173
"GO:0003008","system process","GO:BP",1.9032114744768e-06,150,1218,0.122549019607843,0.123152709359606
"GO:0051239","regulation of multicellular organismal process","GO:BP",1.9032114744768e-06,227,2051,0.185457516339869,0.110677718186251
"GO:0007154","cell communication","GO:BP",2.05861498971534e-06,423,4340,0.345588235294118,0.0974654377880184
"GO:0048856","anatomical structure development","GO:BP",2.12876421459226e-06,416,4263,0.339869281045752,0.0975838611306592
"GO:0007166","cell surface receptor signaling pathway","GO:BP",2.12876421459226e-06,217,1947,0.177287581699346,0.111453518233179
"GO:0006955","immune response","GO:BP",2.12876421459226e-06,137,1092,0.111928104575163,0.125457875457875
"GO:0007155","cell adhesion","GO:BP",2.85391511548186e-06,127,996,0.103758169934641,0.127510040160643
"GO:0002376","immune system process","GO:BP",3.80839763742597e-06,193,1701,0.157679738562091,0.113462669018225
"GO:0001568","blood vessel development","GO:BP",4.07069994059275e-06,80,542,0.065359477124183,0.14760147601476
"GO:0032502","developmental process","GO:BP",4.52278331657085e-06,443,4623,0.361928104575163,0.0958252217174995
