lncRNA,gene,corr,p_value,mean_bicor
Xist,Krit1,0.686834425,6.43E-25,0.324577899
Malat1,Krit1,0.145775979,0.058605947,0.050059217
Airn,Krit1,0.301182257,6.92E-05,0.262778973
Hotair,Krit1,-0.006281111,0.935402807,0.054523211
H19,Krit1,0.126255098,0.101905112,0.124316343
Neat1,Krit1,-0.210051906,0.006124183,-0.130568054
Hottip,Krit1,-0.110242565,0.153617429,-0.018087346
Gas5,Krit1,0.377776876,4.11E-07,0.275243132
Meg3,Krit1,0.387598072,1.93E-07,0.178532165
Pvt1,Krit1,0.266794675,0.000454274,0.130783522
Kcnq1ot1,Krit1,0.577977833,1.91E-16,0.336887388
Xist,Rasa1,0.603929921,3.56E-18,0.324577899
Malat1,Rasa1,-0.181946477,0.01790649,0.050059217
Airn,Rasa1,0.346944574,3.82E-06,0.262778973
Hotair,Rasa1,-0.001455415,0.985016626,0.054523211
H19,Rasa1,0.281197126,0.000212693,0.124316343
Neat1,Rasa1,-0.490121277,1.35E-11,-0.130568054
Hottip,Rasa1,-0.099049317,0.200110209,-0.018087346
Gas5,Rasa1,0.442991536,1.63E-09,0.275243132
Meg3,Rasa1,0.33357198,9.34E-06,0.178532165
Pvt1,Rasa1,0.173914101,0.023736671,0.130783522
Kcnq1ot1,Rasa1,0.508067871,1.77E-12,0.336887388
Xist,Mapk8,0.341883181,5.38E-06,0.324577899
Malat1,Mapk8,0.201054152,0.008763971,0.050059217
Airn,Mapk8,-0.100479068,0.193660783,0.262778973
Hotair,Mapk8,-0.014474999,0.851826716,0.054523211
H19,Mapk8,-0.128902351,0.094866093,0.124316343
Neat1,Mapk8,-0.250011356,0.001044545,-0.130568054
Hottip,Mapk8,-0.112153983,0.146566892,-0.018087346
Gas5,Mapk8,0.03393838,0.661349526,0.275243132
Meg3,Mapk8,0.396194485,9.71E-08,0.178532165
Pvt1,Mapk8,0.548799149,1.12E-14,0.130783522
Kcnq1ot1,Mapk8,0.449982707,8.36E-10,0.336887388
Xist,Nisch,0.501451913,3.80E-12,0.324577899
Malat1,Nisch,-0.035288776,0.648755863,0.050059217
Airn,Nisch,0.317477618,2.60E-05,0.262778973
Hotair,Nisch,0.020941533,0.786968638,0.054523211
H19,Nisch,0.315292868,2.97E-05,0.124316343
Neat1,Nisch,-0.392973847,1.26E-07,-0.130568054
Hottip,Nisch,-0.108177321,0.161519372,-0.018087346
Gas5,Nisch,0.517985196,5.50E-13,0.275243132
Meg3,Nisch,0.414524985,2.11E-08,0.178532165
Pvt1,Nisch,0.164974347,0.032076299,0.130783522
Kcnq1ot1,Nisch,0.556049598,4.22E-15,0.336887388
Xist,Magi1,0.527356762,1.75E-13,0.324577899
Malat1,Magi1,0.386569688,2.09E-07,0.050059217
Airn,Magi1,-0.009753781,0.899841893,0.262778973
Hotair,Magi1,0.025402606,0.743035757,0.054523211
H19,Magi1,-0.203480094,0.007967883,0.124316343
Neat1,Magi1,-0.062341788,0.420697373,-0.130568054
Hottip,Magi1,-0.049563181,0.52221627,-0.018087346
Gas5,Magi1,0.081734692,0.290770109,0.275243132
Meg3,Magi1,0.478623883,4.64E-11,0.178532165
Pvt1,Magi1,0.418828952,1.45E-08,0.130783522
Kcnq1ot1,Magi1,0.610929609,1.14E-18,0.336887388
Xist,Sos1,0.655423985,4.10E-22,0.324577899
Malat1,Sos1,0.204942436,0.007519627,0.050059217
Airn,Sos1,0.168304205,0.028717437,0.262778973
Hotair,Sos1,0.064498377,0.404774885,0.054523211
H19,Sos1,0.012917674,0.867613674,0.124316343
Neat1,Sos1,-0.179272593,0.019691572,-0.130568054
Hottip,Sos1,-0.103185623,0.181868519,-0.018087346
Gas5,Sos1,0.269383023,0.000397574,0.275243132
Meg3,Sos1,0.385562618,2.26E-07,0.178532165
Pvt1,Sos1,0.365338838,1.04E-06,0.130783522
Kcnq1ot1,Sos1,0.643171007,4.15E-21,0.336887388
Xist,Plcg1,0.634503128,2.01E-20,0.324577899
Malat1,Plcg1,-0.095916952,0.214780025,0.050059217
Airn,Plcg1,0.4505597,7.91E-10,0.262778973
Hotair,Plcg1,0.039594982,0.609270502,0.054523211
H19,Plcg1,0.378930662,3.77E-07,0.124316343
Neat1,Plcg1,-0.457341663,4.08E-10,-0.130568054
Hottip,Plcg1,-0.100674846,0.192789569,-0.018087346
Gas5,Plcg1,0.675051479,7.95E-24,0.275243132
Meg3,Plcg1,0.34866788,3.39E-06,0.178532165
Pvt1,Plcg1,0.076839121,0.320727573,0.130783522
Kcnq1ot1,Plcg1,0.554498698,5.21E-15,0.336887388
Xist,Irs1,0.661258092,1.31E-22,0.324577899
Malat1,Irs1,0.102603516,0.184359065,0.050059217
Airn,Irs1,0.406478073,4.17E-08,0.262778973
Hotair,Irs1,-0.038968025,0.61495323,0.054523211
H19,Irs1,0.188115585,0.014315013,0.124316343
Neat1,Irs1,-0.27951391,0.000232919,-0.130568054
Hottip,Irs1,-0.098170414,0.204151169,-0.018087346
Gas5,Irs1,0.242760693,0.001471854,0.275243132
Meg3,Irs1,0.209997533,0.006137724,0.178532165
Pvt1,Irs1,-0.048429248,0.531790787,0.130783522
Kcnq1ot1,Irs1,0.554531399,5.19E-15,0.336887388
Xist,Trpm7,0.773402531,6.90E-35,0.324577899
Malat1,Trpm7,0.013460585,0.862103781,0.050059217
Airn,Trpm7,0.648078913,1.66E-21,0.262778973
Hotair,Trpm7,0.017886655,0.817455237,0.054523211
H19,Trpm7,0.380096978,3.45E-07,0.124316343
Neat1,Trpm7,-0.156226816,0.042524819,-0.130568054
Hottip,Trpm7,-0.097435811,0.207573557,-0.018087346
Gas5,Trpm7,0.468372954,1.35E-10,0.275243132
Meg3,Trpm7,0.175430163,0.022525497,0.178532165
Pvt1,Trpm7,-0.049267601,0.524703558,0.130783522
Kcnq1ot1,Trpm7,0.543309705,2.31E-14,0.336887388
Xist,Mapk8ip3,0.408867389,3.41E-08,0.324577899
Malat1,Mapk8ip3,0.516033499,6.95E-13,0.050059217
Airn,Mapk8ip3,-0.075339707,0.330289144,0.262778973
Hotair,Mapk8ip3,0.061027217,0.430579274,0.054523211
H19,Mapk8ip3,-0.365615954,1.02E-06,0.124316343
Neat1,Mapk8ip3,0.07885397,0.308164337,-0.130568054
Hottip,Mapk8ip3,-0.080798284,0.296350997,-0.018087346
Gas5,Mapk8ip3,-0.068569606,0.375707911,0.275243132
Meg3,Mapk8ip3,0.583507395,8.40E-17,0.178532165
Pvt1,Mapk8ip3,0.567376867,8.77E-16,0.130783522
Kcnq1ot1,Mapk8ip3,0.62290315,1.53E-19,0.336887388
Xist,Dock1,0.471820657,9.46E-11,0.324577899
Malat1,Dock1,-0.113835924,0.140568161,0.050059217
Airn,Dock1,0.691846399,2.13E-25,0.262778973
Hotair,Dock1,0.115862773,0.133590046,0.054523211
H19,Dock1,0.408150012,3.62E-08,0.124316343
Neat1,Dock1,-0.265851807,0.000476723,-0.130568054
Hottip,Dock1,-0.052875068,0.494763455,-0.018087346
Gas5,Dock1,0.613433763,7.56E-19,0.275243132
Meg3,Dock1,0.115833568,0.133688674,0.178532165
Pvt1,Dock1,0.008424012,0.913439398,0.130783522
Kcnq1ot1,Dock1,0.49704741,6.25E-12,0.336887388
Xist,Fer,0.676754781,5.57E-24,0.324577899
Malat1,Fer,-0.038816246,0.616332411,0.050059217
Airn,Fer,0.305089646,5.50E-05,0.262778973
Hotair,Fer,-0.021093389,0.785461169,0.054523211
H19,Fer,0.193317938,0.011792849,0.124316343
Neat1,Fer,-0.442382643,1.72E-09,-0.130568054
Hottip,Fer,-0.114122057,0.139566544,-0.018087346
Gas5,Fer,0.344370891,4.55E-06,0.275243132
Meg3,Fer,0.235833542,0.002023639,0.178532165
Pvt1,Fer,0.218586026,0.004301811,0.130783522
Kcnq1ot1,Fer,0.550764281,8.62E-15,0.336887388
Xist,Cbll1,0.374506928,5.27E-07,0.324577899
Malat1,Cbll1,-0.283114102,0.000191654,0.050059217
Airn,Cbll1,0.366653086,9.44E-07,0.262778973
Hotair,Cbll1,0.036401871,0.638449361,0.054523211
H19,Cbll1,0.341592498,5.49E-06,0.124316343
Neat1,Cbll1,-0.56371826,1.47E-15,-0.130568054
Hottip,Cbll1,-0.099977328,0.19590662,-0.018087346
Gas5,Cbll1,0.651555168,8.61E-22,0.275243132
Meg3,Cbll1,0.252699565,0.00091749,0.178532165
Pvt1,Cbll1,0.223284141,0.003521901,0.130783522
Kcnq1ot1,Cbll1,0.407768843,3.74E-08,0.336887388
Xist,Git2,0.766888876,5.46E-34,0.324577899
Malat1,Git2,0.237239712,0.001898371,0.050059217
Airn,Git2,0.486449467,2.01E-11,0.262778973
Hotair,Git2,0.021324773,0.783165754,0.054523211
H19,Git2,0.09862136,0.202070554,0.124316343
Neat1,Git2,-0.109366025,0.156934871,-0.130568054
Hottip,Git2,-0.100645559,0.192919711,-0.018087346
Gas5,Git2,0.344634923,4.47E-06,0.275243132
Meg3,Git2,0.421542691,1.15E-08,0.178532165
Pvt1,Git2,0.247699334,0.001166515,0.130783522
Kcnq1ot1,Git2,0.678098465,4.20E-24,0.336887388
Xist,Vezt,0.47372802,7.76E-11,0.324577899
Malat1,Vezt,0.432806614,4.18E-09,0.050059217
Airn,Vezt,-0.025640957,0.740710233,0.262778973
Hotair,Vezt,0.002001962,0.979391033,0.054523211
H19,Vezt,-0.219923485,0.004065338,0.124316343
Neat1,Vezt,-0.016323318,0.833166445,-0.130568054
Hottip,Vezt,-0.093158223,0.228322852,-0.018087346
Gas5,Vezt,0.054631428,0.480521116,0.275243132
