adhesome_gene,lncRNA,corr,condition
AJAP1,GAS5,0.210322871,GTEx
FBLIM1,GAS5,0.423593966,GTEx
CDC42,GAS5,0.48782561,GTEx
ASAP3,GAS5,0.529905278,GTEx
SLC9A1,GAS5,0.299928278,GTEx
WASF2,GAS5,0.51967851,GTEx
EPB41,GAS5,0.230311131,GTEx
PTPRU,GAS5,0.417597755,GTEx
FABP3,GAS5,-0.049497888,GTEx
MACF1,GAS5,0.320671651,GTEx
PTPRF,GAS5,0.463548828,GTEx
TSPAN1,GAS5,0.345619763,GTEx
ITGB3BP,GAS5,0.594709433,GTEx
NEXN,GAS5,0.260357384,GTEx
SSX2IP,GAS5,0.123001314,GTEx
BCAR3,GAS5,0.451875463,GTEx
VAV3,GAS5,0.07524219,GTEx
RAP1A,GAS5,0.268276777,GTEx
CAPZA1,GAS5,0.5160672,GTEx
ITGA10,GAS5,0.309046091,GTEx
HAX1,GAS5,0.317063289,GTEx
SHC1,GAS5,0.522399467,GTEx
ARHGEF2,GAS5,0.237948136,GTEx
CSRP1,GAS5,0.348907279,GTEx
PTPN14,GAS5,0.464154291,GTEx
CAPN2,GAS5,0.503048106,GTEx
ENAH,GAS5,0.384855384,GTEx
ARF1,GAS5,0.439019843,GTEx
RHOU,GAS5,0.122365176,GTEx
ACP1,GAS5,0.503050554,GTEx
ASAP2,GAS5,0.442433915,GTEx
ITGB1BP1,GAS5,0.400594598,GTEx
SDC1,GAS5,0.347411303,GTEx
SOS1,GAS5,0.484594292,GTEx
SPTBN1,GAS5,0.227777838,GTEx
CTNNA2,GAS5,0.044169787,GTEx
FHL2,GAS5,0.43598677,GTEx
NCK2,GAS5,0.421594752,GTEx
LIMS1,GAS5,0.409900508,GTEx
ACTR3,GAS5,0.402623091,GTEx
LIMS2,GAS5,0.26356835,GTEx
PKP4,GAS5,0.249822724,GTEx
ITGB6,GAS5,-0.01740908,GTEx
ITGA6,GAS5,0.469916978,GTEx
ITGA4,GAS5,0.280841678,GTEx
ITGAV,GAS5,0.392753927,GTEx
CASP8,GAS5,0.477623612,GTEx
ABI2,GAS5,0.177740321,GTEx
NRP2,GAS5,0.422423321,GTEx
TNS1,GAS5,0.28167085,GTEx
ARPC2,GAS5,0.411767742,GTEx
IRS1,GAS5,0.456820788,GTEx
INPP5D,GAS5,0.382894763,GTEx
ILKAP,GAS5,0.520511102,GTEx
ANKRD28,GAS5,0.480950827,GTEx
ITGA9,GAS5,0.200264759,GTEx
CTNNB1,GAS5,0.541549076,GTEx
RHOA,GAS5,0.425129565,GTEx
PPM1M,GAS5,0.452563594,GTEx
NISCH,GAS5,0.499952623,GTEx
PRKCD,GAS5,0.300421761,GTEx
FLNB,GAS5,0.592539692,GTEx
MAGI1,GAS5,0.401237468,GTEx
