gene_name,bicor_gtex,p_gtex,bicor_tcga,p_tcga,z_gtex,z_tcga,se_diff,z_diff,p_diff,padj_diff,delta_bicor
ABI1,0.336773354,9.64E-154,-0.013767321,0.348144616,0.350448632,-0.013768191,0.019695029,18.49283004,2.36E-76,4.43E-76,0.350540675
ABI2,0.489593558,0,0.261552373,1.55E-73,0.535525614,0.267774051,0.019695029,13.59488041,4.29E-42,6.05E-42,0.228041185
ABI3,0.301446964,5.79E-122,0.037372935,0.010846598,0.311110435,0.03739035,0.019695029,13.89792755,6.52E-44,9.43E-44,0.264074029
ABL1,0.622701034,0,0.153313569,7.81E-26,0.729404729,0.154532014,0.019695029,29.18872154,2.70E-187,1.27E-186,0.469387465
ACP1,0.575024676,0,-0.127674033,2.42E-18,0.654997556,-0.128374622,0.019695029,39.77512196,0,0,0.702698709
ACTB,0.370149363,9.89E-188,-0.257649369,2.44E-71,0.388596165,-0.263588999,0.019695029,33.11420186,1.86E-240,1.72E-239,0.627798732
ACTN1,0.321253934,2.62E-139,-0.156406853,7.84E-27,0.33304472,-0.157701306,0.019695029,24.91725333,4.84E-137,1.47E-136,0.477660787
ACTN4,0.514841586,0,-0.185167084,4.13E-37,0.569295342,-0.187327981,0.019695029,38.41696936,0,0,0.70000867
ACTR3,0.314614017,2.19E-133,-0.194972907,4.94E-41,0.32565811,-0.19750143,0.019695029,26.56302468,1.82E-155,6.59E-155,0.509586924
ADAM10,0.564695594,0,0.104993832,7.26E-13,0.639700503,0.105382211,0.019695029,27.12960176,4.41E-162,1.75E-161,0.459701762
ADAM12,0.205532636,3.97E-56,-0.085446819,5.45E-09,0.208502431,-0.085655688,0.019695029,14.93565307,1.93E-50,2.96E-50,0.290979455
ADAM9,0.467113539,3.5470156772512e-312,0.018357725,0.210912549,0.506371894,0.018359788,0.019695029,24.77844069,1.53E-135,4.57E-135,0.448755814
ADD1,0.600485697,0,0.216064929,3.31E-50,0.693906428,0.219524629,0.019695029,24.0863723,3.47E-128,9.36E-128,0.384420768
AGAP2,-0.065514369,5.95E-07,0.137671149,4.25E-21,-0.065608343,0.138550952,0.019695029,-10.36603177,3.54E-25,4.44E-25,-0.203185518
AJAP1,0.222397384,2.57E-64,0.103598007,2.13E-12,0.226176831,0.103971036,0.019695029,6.20490558,5.47E-10,6.15E-10,0.118799377
AKAP5,0.340425714,2.91E-157,0.211188849,6.32E-48,0.354573967,0.214415368,0.019695029,7.116445438,1.11E-12,1.28E-12,0.129236865
AKT1,0.54884898,0,-0.030233255,0.039335225,0.616732601,-0.030242472,0.019695029,32.84966346,1.15E-236,1.04E-235,0.579082235
ANK3,0.065986613,4.93E-07,0.2443148,4.25E-64,0.066082638,0.249357704,0.019695029,-9.305651048,1.33E-20,1.62E-20,-0.178328187
ANKRD28,0.529703657,0,0.171316366,6.19E-32,0.589733147,0.173022518,0.019695029,21.15816284,2.32E-99,5.31E-99,0.358387291
ARF1,0.506310982,0,-0.204586015,4.35E-45,0.557756541,-0.207514258,0.019695029,38.85603832,0,0,0.710896997
ARF6,0.297112024,1.70E-118,-0.06640528,5.90E-06,0.306349012,-0.066503147,0.019695029,18.93128265,6.30E-80,1.22E-79,0.363517304
ARHGAP12,0.601567038,0,0.30089755,7.68E-98,0.695599285,0.310506215,0.019695029,19.55280548,3.90E-85,8.05E-85,0.300669488
ARHGAP21,0.406799882,5.31E-230,0.114323808,5.45E-15,0.431770504,0.114825819,0.019695029,16.09262348,2.87E-58,4.68E-58,0.292476074
ARHGAP24,0.425922889,2.86E-254,0.15976351,6.21E-28,0.454905399,0.161144002,0.019695029,14.91550977,2.61E-50,3.98E-50,0.266159379
ARHGAP26,0.207555642,1.91E-57,0.111549789,2.44E-14,0.210615586,0.112015959,0.019695029,5.006320503,5.55E-07,6.10E-07,0.096005853
ARHGAP32,0.327481509,5.34E-145,0.134378315,3.62E-20,0.340004608,0.13519604,0.019695029,10.3989981,2.51E-25,3.18E-25,0.193103194
ARHGAP35,0.410594494,1.08E-234,0.135994037,1.27E-20,0.436326055,0.13684184,0.019695029,15.20608149,3.22E-52,5.01E-52,0.274600457
ARHGAP5,0.546015104,0,0.218584526,2.27E-51,0.612686035,0.222169127,0.019695029,19.82819671,1.70E-87,3.62E-87,0.327430578
ARHGEF12,0.587042437,0,0.273994239,8.54E-81,0.673141313,0.281177182,0.019695029,19.90167835,3.94E-88,8.43E-88,0.313048198
ARHGEF2,0.400800644,1.04E-222,0.036794408,0.012136888,0.424602442,0.036811026,0.019695029,19.68981193,2.64E-86,5.54E-86,0.364006236
ARHGEF6,0.282040625,1.76E-106,0.212217357,1.86E-48,0.28989767,0.215492135,0.019695029,3.777883994,0.000158167,0.000167707,0.069823268
ARHGEF7,0.546078839,0,0.249844505,4.68E-67,0.612776847,0.255246957,0.019695029,18.15330615,1.21E-73,2.19E-73,0.296234334
ARPC2,0.217134223,7.92E-63,-0.270041213,1.90E-78,0.220646559,-0.276908277,0.019695029,25.26296545,8.16E-141,2.52E-140,0.487175436
ARVCF,0.437735967,4.57E-270,0.244093774,5.38E-64,0.46942668,0.249122661,0.019695029,11.18576773,4.79E-29,6.27E-29,0.193642193
ASAP2,0.634221095,0,0.086328372,3.83E-09,0.748446255,0.086543793,0.019695029,33.60759023,1.30E-247,1.40E-246,0.547892723
ASAP3,0.491878341,0,0.048467662,0.000950831,0.538535166,0.048505668,0.019695029,24.88087221,1.20E-136,3.61E-136,0.443410679
BCAR1,0.433460091,3.86E-264,-0.014273912,0.330692477,0.464149459,-0.014274882,0.019695029,24.29162924,2.40E-130,6.75E-130,0.447734003
BCAR3,0.452127336,3.96E-290,0.024874613,0.090018751,0.487370997,0.024879745,0.019695029,23.48263885,6.14E-122,1.56E-121,0.427252723
CALR,0.490787602,0,-0.241200566,1.74E-62,0.537097318,-0.246048448,0.019695029,39.76362611,0,0,0.731988168
CAPN1,0.443320036,9.36E-278,-0.205237082,2.27E-45,0.476355408,-0.208193861,0.019695029,34.75746447,1.07E-264,1.43E-263,0.648557118
CAPN2,0.548106909,0,0.025428663,0.083082966,0.615671243,0.025434146,0.019695029,29.96883627,2.50E-197,1.33E-196,0.522678246
CAPZA1,0.264135106,3.77E-93,-0.100240741,7.49E-12,0.270548461,-0.100578526,0.019695029,18.84368838,3.31E-79,6.39E-79,0.364375847
CASP3,0.316314936,6.87E-135,-0.030295621,0.038930997,0.327547009,-0.030304895,0.019695029,18.16965615,8.98E-74,1.66E-73,0.346610557
