"adhesome_gene","XIST","tissue"
"AJAP1",0.291143340741752,"Adipose Tissue"
"FBLIM1",0.166254495356852,"Adipose Tissue"
"CDC42",0.297359040328866,"Adipose Tissue"
"ASAP3",0.444832056023917,"Adipose Tissue"
"SLC9A1",0.340858461135169,"Adipose Tissue"
"WASF2",0.200961187772392,"Adipose Tissue"
"EPB41",0.268910134445359,"Adipose Tissue"
"PTPRU",0.223128731704758,"Adipose Tissue"
"FABP3",0.235186191343281,"Adipose Tissue"
"MACF1",0.557360404299982,"Adipose Tissue"
"PTPRF",-0.100497247083648,"Adipose Tissue"
"TSPAN1",0.200360630153506,"Adipose Tissue"
"ITGB3BP",0.400013295502689,"Adipose Tissue"
"NEXN",0.13365169320475,"Adipose Tissue"
"SSX2IP",0.322651011611102,"Adipose Tissue"
"BCAR3",0.11575643843202,"Adipose Tissue"
"VAV3",0.335763238434751,"Adipose Tissue"
"RAP1A",0.283119865205509,"Adipose Tissue"
"CAPZA1",0.263033123304101,"Adipose Tissue"
"ITGA10",0.0955237975050837,"Adipose Tissue"
"HAX1",-0.0387120284797469,"Adipose Tissue"
"SHC1",0.0687978160276638,"Adipose Tissue"
"ARHGEF2",0.3501126618616,"Adipose Tissue"
"CSRP1",0.281188413832743,"Adipose Tissue"
"PTPN14",0.235854415969032,"Adipose Tissue"
"CAPN2",0.474275304547584,"Adipose Tissue"
"ENAH",0.463309884339913,"Adipose Tissue"
"ARF1",0.143063839657157,"Adipose Tissue"
"RHOU",0.0530119133088324,"Adipose Tissue"
"ACP1",0.353882342025524,"Adipose Tissue"
"ASAP2",0.547826297029106,"Adipose Tissue"
"ITGB1BP1",-0.00691518004072724,"Adipose Tissue"
"SDC1",-0.0933566002447828,"Adipose Tissue"
"SOS1",0.403309883290425,"Adipose Tissue"
"SPTBN1",0.187776171174337,"Adipose Tissue"
"CTNNA2",0.267304053672214,"Adipose Tissue"
"FHL2",0.309402638433445,"Adipose Tissue"
"NCK2",0.340041066328885,"Adipose Tissue"
"LIMS1",0.353768081080935,"Adipose Tissue"
"ACTR3",0.40983618999504,"Adipose Tissue"
"LIMS2",0.128540818404055,"Adipose Tissue"
"PKP4",0.407929951554135,"Adipose Tissue"
"ITGB6",0.0316494564215128,"Adipose Tissue"
"ITGA6",0.308332697863735,"Adipose Tissue"
"ITGA4",0.532928960379801,"Adipose Tissue"
"ITGAV",0.335465211687802,"Adipose Tissue"
"CASP8",0.343798745130693,"Adipose Tissue"
"ABI2",0.598235449313196,"Adipose Tissue"
"NRP2",0.452537772358217,"Adipose Tissue"
"TNS1",0.118755812918815,"Adipose Tissue"
"ARPC2",0.180582280600577,"Adipose Tissue"
"IRS1",0.111319002930838,"Adipose Tissue"
"INPP5D",0.463547712471491,"Adipose Tissue"
"ILKAP",0.326285316174968,"Adipose Tissue"
"ANKRD28",0.248647461486918,"Adipose Tissue"
"ITGA9",0.125198662164864,"Adipose Tissue"
"CTNNB1",0.264263138089089,"Adipose Tissue"
"RHOA",0.165336881573967,"Adipose Tissue"
"PPM1M",0.411511614922094,"Adipose Tissue"
"NISCH",0.537786618025799,"Adipose Tissue"
"PRKCD",-0.161432812865088,"Adipose Tissue"
"FLNB",0.45917643359874,"Adipose Tissue"
"MAGI1",0.409362429446971,"Adipose Tissue"
"CD47",0.639146969076084,"Adipose Tissue"
"ITGB5",0.158680103940584,"Adipose Tissue"
"HEG1",0.135494940917523,"Adipose Tissue"
"PLD1",0.495274892882515,"Adipose Tissue"
"ECT2",0.2403573438935,"Adipose Tissue"
"PIK3CA",0.283168538200411,"Adipose Tissue"
"LPP",0.347988763116186,"Adipose Tissue"
"DLG1",0.405181222466295,"Adipose Tissue"
"ADD1",0.269876335083425,"Adipose Tissue"
"SHROOM3",0.208187737547836,"Adipose Tissue"
"ARHGAP24",0.365629957608159,"Adipose Tissue"
"GAB1",0.576482489320551,"Adipose Tissue"
"RAPGEF2",0.385419257356602,"Adipose Tissue"
"PALLD",0.279760050867854,"Adipose Tissue"
"CASP3",0.286352532880765,"Adipose Tissue"
"SORBS2",0.193833526775686,"Adipose Tissue"
"FAT1",0.322952008149096,"Adipose Tissue"
"EXOC3",0.310768280267666,"Adipose Tissue"
"CTNND2",0.270720260499062,"Adipose Tissue"
"TRIO",0.446849049220468,"Adipose Tissue"
"CDH18",0.250217669592129,"Adipose Tissue"
"CDH12",0.0723616289175274,"Adipose Tissue"
"CDH10",0.12447014911266,"Adipose Tissue"
"CDH9",-0.0367467090201971,"Adipose Tissue"
"CDH6",0.408240702131822,"Adipose Tissue"
"PDZD2",0.0651764464662851,"Adipose Tissue"
"ITGA1",0.349875786484652,"Adipose Tissue"
"ITGA2",0.43757511792209,"Adipose Tissue"
"PDE4D",0.0979504624846145,"Adipose Tissue"
"RASA1",0.494787202581053,"Adipose Tissue"
"FER",0.576129195861599,"Adipose Tissue"
"PPP2CA",0.0993957997194391,"Adipose Tissue"
"CTNNA1",0.371564628975977,"Adipose Tissue"
"DIAPH1",0.372114736136359,"Adipose Tissue"
"ARHGAP26",0.167217061021394,"Adipose Tissue"
"DBN1",0.24704997259257,"Adipose Tissue"
"NEDD9",0.259662900731749,"Adipose Tissue"
"RNF5",0.257819834268217,"Adipose Tissue"
"DEF6",0.326437603673642,"Adipose Tissue"
"CD2AP",0.474290387912946,"Adipose Tissue"
"MYO6",0.355885224718231,"Adipose Tissue"
"FYN",0.255595857532827,"Adipose Tissue"
"MARCKS",0.431724636124333,"Adipose Tissue"
"PTPRK",0.412418732246204,"Adipose Tissue"
"EZR",-0.0290013716378044,"Adipose Tissue"
"GNA12",0.096136752128979,"Adipose Tissue"
"ACTB",0.296892614346609,"Adipose Tissue"
"FSCN1",0.376391634046922,"Adipose Tissue"
"RAC1",0.275348768588584,"Adipose Tissue"
"ITGB8",0.219980932041359,"Adipose Tissue"
"ELMO1",0.329224371429176,"Adipose Tissue"
"EGFR",0.0859417794404073,"Adipose Tissue"
"LIMK1",0.308375492033275,"Adipose Tissue"
"HSPB1",0.111364782320594,"Adipose Tissue"
"PTPN12",0.31927745583026,"Adipose Tissue"
"KRIT1",0.576051659080506,"Adipose Tissue"
"TRIP6",0.35394773559092,"Adipose Tissue"
"CBLL1",0.339851491714632,"Adipose Tissue"
"TES",0.148485222531916,"Adipose Tissue"
"CAV1",0.169238389593123,"Adipose Tissue"
"MET",0.187077221265026,"Adipose Tissue"
"WASL",0.453536841410334,"Adipose Tissue"
"ZYX",0.318729144694464,"Adipose Tissue"
"KCNH2",0.124954169563068,"Adipose Tissue"
"DLC1",0.074456281429899,"Adipose Tissue"
"SORBS3",0.305363009522926,"Adipose Tissue"
"PTK2B",0.167826453959508,"Adipose Tissue"
"ADAM9",0.414092367674257,"Adipose Tissue"
"LYN",0.212441520640462,"Adipose Tissue"
"SDCBP",0.23574043012038,"Adipose Tissue"
"PABPC1",0.237747995921529,"Adipose Tissue"
"PTK2",0.449929234740537,"Adipose Tissue"
"SCRIB",0.236343538384051,"Adipose Tissue"
"PLEC",0.348088819899564,"Adipose Tissue"
"SHARPIN",0.0867780371339959,"Adipose Tissue"
"TESK1",-0.166656582828143,"Adipose Tissue"
"TLN1",0.16020561554251,"Adipose Tissue"
"TJP2",0.0461033790870518,"Adipose Tissue"
"OSTF1",0.319025985120898,"Adipose Tissue"
"SYK",0.204944596745963,"Adipose Tissue"
"SPTLC1",0.492504067392243,"Adipose Tissue"
"CORO2A",0.316319790285618,"Adipose Tissue"
"ENG",0.101105142672685,"Adipose Tissue"
"ABL1",0.192768394645864,"Adipose Tissue"
"RAPGEF1",0.213680363272082,"Adipose Tissue"
"VAV2",0.507709488473302,"Adipose Tissue"
