"adhesome_gene","XIST","tissue"
"ITGA8",0.188017175512237,"Eye"
"ITGA9",-0.046624914127154,"Eye"
"ITGA1",0.0878461452371405,"Eye"
"ITGA2",0.0675293550960636,"Eye"
"ITGA3",-0.268695217936182,"Eye"
"ITGA4",-0.0414958493479913,"Eye"
"ITGA5",-0.297859933209468,"Eye"
"ITGA6",-0.0258023376468897,"Eye"
"ITGA7",-0.189130965565329,"Eye"
"ITGAX",-0.120667621168464,"Eye"
"ITGAV",0.0826931299667739,"Eye"
"ITGAL",-0.140207565469972,"Eye"
"ITGAM",-0.0546056790278985,"Eye"
"ITGAD",-0.0767341341252648,"Eye"
"ITGAE",0.0478663291692316,"Eye"
"PTPN12",0.264982678876861,"Eye"
"PTPN11",-0.00626296093583863,"Eye"
"PTPN14",0.151835068580206,"Eye"
"SH3KBP1",0.0413637277316865,"Eye"
"SORBS1",0.353903628446306,"Eye"
"SORBS3",0.0760941683873055,"Eye"
"SORBS2",0.24988663629427,"Eye"
"ADAM10",0.285710829524446,"Eye"
"ADAM12",0.0670433962310457,"Eye"
"NDEL1",0.19663481835589,"Eye"
"ABI2",0.285968121866258,"Eye"
"ABI3",-0.119039973696816,"Eye"
"ABI1",0.0841767557304309,"Eye"
"SRCIN1",-0.115847187279534,"Eye"
"RASA1",0.107980410421099,"Eye"
"ACTN4",-0.00263578502309977,"Eye"
"EZR",-0.0707898503366238,"Eye"
"SIPA1L3",-0.247056366805645,"Eye"
"PPFIA1",0.168385901579345,"Eye"
"RAPGEF1",-0.0219330724616293,"Eye"
"RAPGEF2",0.180962946244843,"Eye"
"TUBA1B",-0.204121383979598,"Eye"
"CALR",0.0434700249203488,"Eye"
"PFN1",-0.0492768223497294,"Eye"
"SSX2IP",0.0102298466702523,"Eye"
"CYTH2",0.0401320179665682,"Eye"
"CDH20",0.0142207506158649,"Eye"
"CDH24",-0.0984785053034443,"Eye"
"FAT1",0.0229010712925195,"Eye"
"SOS1",0.224690280456768,"Eye"
"CBLL1",0.0620524086467982,"Eye"
"KRIT1",0.262556522640646,"Eye"
"SCRIB",-0.0673001653625623,"Eye"
"LYN",-0.0306484575169172,"Eye"
"VAV1",-0.224514498918948,"Eye"
"VAV3",0.274666583823917,"Eye"
"VAV2",0.0220720672977389,"Eye"
"FERMT2",0.303104822147607,"Eye"
"FERMT3",0.115962302207261,"Eye"
"FERMT1",-0.210403589880101,"Eye"
"CRKL",0.0846366527012979,"Eye"
"NRP1",0.111124573752948,"Eye"
"NRP2",-0.0359850751716296,"Eye"
"AGAP2",-0.139621411472224,"Eye"
"ROCK1",0.19826122993969,"Eye"
"PLD1",-0.0147832960571042,"Eye"
"DOCK1",0.180066631310556,"Eye"
"ITGB1",0.123897140071382,"Eye"
"ITGB3",-0.132215486885948,"Eye"
"ITGB2",-0.0316391543158076,"Eye"
"ITGB5",-0.202766060133462,"Eye"
"ITGB4",0.324222509532481,"Eye"
"ITGB7",0.00374055502885758,"Eye"
"ITGB6",-0.00635753641071131,"Eye"
"ITGB8",0.350135201589425,"Eye"
"ITGA10",0.226226082075455,"Eye"
"ITGA11",0.0257302882234172,"Eye"
"LRP1",-0.308609136578822,"Eye"
"SIRPA",-0.0217985264350159,"Eye"
"TGFB1I1",-0.069560450604793,"Eye"
"SHARPIN",-0.0143729170225632,"Eye"
"CAPZA1",-0.116684116256257,"Eye"
"LIN7A",0.0689211494212824,"Eye"
"PVR",-0.292276801068197,"Eye"
"MAPK1",0.14504289653362,"Eye"
"MAPK8",0.378011705648728,"Eye"
"NEDD9",0.22730323764006,"Eye"
"DIAPH1",-0.179008325219842,"Eye"
"PARD3",0.0225181395901055,"Eye"
"CDH11",0.374563372024343,"Eye"
"CDH10",0.114740983257525,"Eye"
"CDH12",0.0561993437531861,"Eye"
"CDH15",0.118290988654929,"Eye"
"CDH19",0.308836867212762,"Eye"
"CDH18",0.15960035536204,"Eye"
"ABL1",-0.162012657273202,"Eye"
"VEZT",0.283264972941397,"Eye"
"ADAM9",-0.0230093084325799,"Eye"
"PRKD1",0.2683361257373,"Eye"
"LAYN",0.108465076069736,"Eye"
"HEG1",-0.308883985017477,"Eye"
"FHL2",0.264552853752175,"Eye"
"FLNA",-0.111485249975584,"Eye"
"CTNNA1",0.291673214467045,"Eye"
"CTNNA2",0.0563992264047547,"Eye"
"CTNNA3",0.0786361032457468,"Eye"
"SYNM",0.108791315673933,"Eye"
"GAB1",0.24640382568836,"Eye"
"ASAP2",0.369347077676745,"Eye"
"ASAP3",-0.122761273925853,"Eye"
"ARHGAP21",0.218731870203596,"Eye"
"ARHGAP26",-0.0200030924547637,"Eye"
"ARHGAP24",-0.0150944455903247,"Eye"
"PKD1",0.0145108988204399,"Eye"
"PRKACA",-0.123555367750614,"Eye"
"GNA12",-0.00668947950582373,"Eye"
"RAP1A",0.100063204510792,"Eye"
"INSR",0.134421964835947,"Eye"
"SPTBN1",-0.19383772349008,"Eye"
"ACTN1",-0.139514601371548,"Eye"
"TRIP6",-0.170051587836347,"Eye"
"CAV1",0.416157826959332,"Eye"
"SVIL",-0.0434595705961174,"Eye"
"MET",0.124031915727624,"Eye"
"CASS4",-0.068058052887795,"Eye"
"CDH8",0.108497766194814,"Eye"
"HSPB1",0.162696035182086,"Eye"
"AJAP1",0.141376882065727,"Eye"
"PRNP",0.0322970341323969,"Eye"
"PEAK1",0.0313693237515527,"Eye"
"LPXN",-0.203273686347834,"Eye"
"LIMS2",0.0811713280854003,"Eye"
"LIMS1",0.300716280565037,"Eye"
"ARHGEF2",-0.0403154445372556,"Eye"
"CDH2",-0.0406378714000903,"Eye"
"ACTB",-0.0638706501394866,"Eye"
"STARD13",0.167119052159979,"Eye"
"JUP",0.132456975738903,"Eye"
"CTNND2",-0.233817521749392,"Eye"
"CTNND1",0.220013960900803,"Eye"
"TESK1",0.00336481355423948,"Eye"
"TRPM7",0.253763528144319,"Eye"
"LIMK1",-0.0680605646296968,"Eye"
"FER",0.34281062216912,"Eye"
"MAPK8IP3",0.212216120160995,"Eye"
"DLG1",0.118718313295443,"Eye"
"SPTLC1",0.112014326703491,"Eye"
"KCNH2",0.129748258583257,"Eye"
"CIB2",-0.236918502568767,"Eye"
"CIB1",-0.186341620314865,"Eye"
"PTPN2",0.168441490665728,"Eye"
"PTPN1",-0.282883346375772,"Eye"
"PTPN6",-0.126881978800026,"Eye"
"OSTF1",0.0935302927363218,"Eye"
"DLG5",-0.0299427821469709,"Eye"
"INPP5D",-0.115016533890838,"Eye"
"PXN",0.0864022946994353,"Eye"
"THY1",0.0351852468131286,"Eye"
"MMP14",-0.18060863213169,"Eye"
"HRAS",-0.107917450880342,"Eye"
"FLNB",0.149297454876286,"Eye"
"CDH22",-0.0186279215187877,"Eye"
"LPP",0.24866661473395,"Eye"
"PSEN1",0.0621352670173188,"Eye"
"NUMB",0.227160146501817,"Eye"
"HAX1",-0.0932474297969985,"Eye"
"GIT1",0.254744582341919,"Eye"
"GIT2",0.124351384263415,"Eye"
"DEF6",0.141047281622315,"Eye"
"RHOU",0.0275419915714724,"Eye"
"RHOA",-0.0552464021344854,"Eye"
"CTTN",0.0154509975661907,"Eye"
"ENG",-0.0906396130331511,"Eye"
"TLN1",-0.206592409344791,"Eye"
"SDC1",0.0433180757993525,"Eye"
"SDC4",-0.0180066003711866,"Eye"
"EXOC3",-0.030173747259932,"Eye"
"ANK3",0.184616524074476,"Eye"
"SSH1",-0.121556394401121,"Eye"
"RAVER1",-0.200337821417358,"Eye"
"CBL",-0.0533734299286373,"Eye"
"NCK2",0.221799838146156,"Eye"
"MPP7",0.166915874633012,"Eye"
"CORO2A",-0.04056856407739,"Eye"
"CSNK2A1",0.101446998527529,"Eye"
"ITGB1BP1",0.42885395621848,"Eye"
"RAC1",0.132117971024935,"Eye"
"VCL",-0.0593960545280009,"Eye"
"ILKAP",0.185155618574765,"Eye"
"DBN1",0.00842778900902934,"Eye"
"ZFYVE21",0.339866782667391,"Eye"
"PTK2",0.137646215876192,"Eye"
"ITGB3BP",0.152579931372835,"Eye"
"FBLIM1",-0.26956971361771,"Eye"
"RNF5",0.00631386797328356,"Eye"
"ACTR3",0.145616079319165,"Eye"
"NUDT16L1",-0.338956661447033,"Eye"
"NISCH",0.119780232703187,"Eye"
"CRK",0.17029564322964,"Eye"
"CSNK1E",0.234546162071441,"Eye"
"SRC",-0.190344172587572,"Eye"
"TNS1",-0.00456629907676605,"Eye"
"TJP2",0.11076910628767,"Eye"
"TJP1",0.105184943136802,"Eye"
"SLC3A2",-0.119867277150878,"Eye"
"FSCN1",-0.148909094305496,"Eye"
"CD151",-0.171838310655531,"Eye"
"IRS1",0.314557503322273,"Eye"
"TRPV4",-0.17688221338785,"Eye"
"SDCBP",0.0313995377718138,"Eye"
"ARHGEF12",0.177747507358674,"Eye"
"MYOM1",0.00503877691668154,"Eye"
"CORO1B",-0.19480037402684,"Eye"
"WASF2",-0.207318877225717,"Eye"
"CTNNB1",0.208954451539213,"Eye"
"FABP3",-0.187134543222731,"Eye"
"MACF1",-0.0513526335606819,"Eye"
"MSN",-0.0814974258194731,"Eye"
"CDC42",-0.0231346047359336,"Eye"
"TRIO",0.126922802373471,"Eye"
"SLC16A3",0.000777705046815933,"Eye"
"ARHGAP32",0.18915628992485,"Eye"
"ARHGAP35",0.0420104369826606,"Eye"
"TES",0.0135402120113921,"Eye"
"MARCKS",0.281325509525286,"Eye"
"LMO7",0.283917520525656,"Eye"
"NME1",-0.196616362707984,"Eye"
"EPB41",-0.125091483345163,"Eye"
"TIAM1",-0.00271691452248574,"Eye"
"PDZD2",-0.00515380933955235,"Eye"
"NF2",-0.0334457409047397,"Eye"
"LASP1",0.095609793279773,"Eye"
"TRPC4",0.401567476568643,"Eye"
"DYNC1H1",0.123552366857853,"Eye"
"LIMA1",0.138914533898967,"Eye"
"CASP3",0.173099159192218,"Eye"
"CASP8",0.147404819105517,"Eye"
"AKT1",-0.168650697108211,"Eye"
"PKP4",-0.0146779218150342,"Eye"
"ELMO1",-0.221966923507622,"Eye"
"SMPX",-0.365023122271555,"Eye"
"ANKRD28",0.178737381962252,"Eye"
"PLCG1",0.147454736053259,"Eye"
"INPPL1",-0.206277269431567,"Eye"
"EGFR",-0.0310855953831948,"Eye"
"ARHGEF6",0.0802012468898114,"Eye"
"ARHGEF7",0.139132220435184,"Eye"
"CDH9",-1,"Eye"
"CDH1",0.114052108638719,"Eye"
"CDH3",0.0947388086447804,"Eye"
