"","adhesome_gene","bicor","sample_type","nucl_bin"
"1","AJAP1",0.210322870895687,"Normal Tissue","Non-nuclear-localized"
"2","FBLIM1",0.42359396600252,"Normal Tissue","Nuclear-localized"
"3","CDC42",0.487825610297438,"Normal Tissue","Non-nuclear-localized"
"4","ASAP3",0.52990527826442,"Normal Tissue","Nuclear-localized"
"5","SLC9A1",0.299928278190449,"Normal Tissue","Nuclear-localized"
"6","WASF2",0.519678509866036,"Normal Tissue","Non-nuclear-localized"
"7","EPB41",0.230311130829672,"Normal Tissue","Nuclear-localized"
"8","PTPRU",0.417597754717489,"Normal Tissue","Non-nuclear-localized"
"9","FABP3",-0.0494978881436793,"Normal Tissue","Non-nuclear-localized"
"10","MACF1",0.320671651398544,"Normal Tissue","Non-nuclear-localized"
"11","PTPRF",0.463548827745535,"Normal Tissue","Non-nuclear-localized"
"12","TSPAN1",0.345619762519162,"Normal Tissue","Nuclear-localized"
"13","ITGB3BP",0.594709433119157,"Normal Tissue","Nuclear-localized"
"14","NEXN",0.260357383918919,"Normal Tissue","Non-nuclear-localized"
"15","SSX2IP",0.123001313898948,"Normal Tissue","Nuclear-localized"
"16","BCAR3",0.451875462763263,"Normal Tissue","Non-nuclear-localized"
"17","VAV3",0.075242189588554,"Normal Tissue","Non-nuclear-localized"
"18","RAP1A",0.268276776855069,"Normal Tissue","Non-nuclear-localized"
"19","CAPZA1",0.516067200009064,"Normal Tissue","Non-nuclear-localized"
"20","ITGA10",0.309046090667402,"Normal Tissue","Non-nuclear-localized"
"21","HAX1",0.317063289433331,"Normal Tissue","Nuclear-localized"
"22","SHC1",0.522399467000386,"Normal Tissue","Non-nuclear-localized"
"23","ARHGEF2",0.237948136224269,"Normal Tissue","Non-nuclear-localized"
"24","CSRP1",0.348907278581003,"Normal Tissue","Nuclear-localized"
"25","PTPN14",0.464154290691398,"Normal Tissue","Nuclear-localized"
"26","CAPN2",0.50304810583849,"Normal Tissue","Nuclear-localized"
"27","ENAH",0.384855384170796,"Normal Tissue","Non-nuclear-localized"
"28","ARF1",0.439019842686825,"Normal Tissue","Non-nuclear-localized"
"29","RHOU",0.122365176280066,"Normal Tissue","Non-nuclear-localized"
"30","ACP1",0.503050554150204,"Normal Tissue","Non-nuclear-localized"
"31","ASAP2",0.442433915278212,"Normal Tissue","Non-nuclear-localized"
"32","ITGB1BP1",0.400594598042057,"Normal Tissue","Nuclear-localized"
"33","SDC1",0.347411303416965,"Normal Tissue","Non-nuclear-localized"
