gene,p.value_high,hr_high,p.value_low,hr_low,direction,diff,signif,nucl_bin
ADD1,0.002437461,0.162652151,0.000198773,2.308478063,-1,-2.145825911,Both,Nuclear-localized
CLIP1,0.001136112,0.157724713,0.00178509,1.914927612,-1,-1.757202898,Both,Nuclear-localized
PRKACA,0.008002928,0.195275947,0.001514067,1.931304152,-1,-1.736028205,Both,Nuclear-localized
SDCBP,0.004457361,0.227965611,0.044856868,1.428857989,-1,-1.200892378,Both,Nuclear-localized
LRP1,0.00719815,0.384380468,0.044452669,1.34925353,-1,-0.964873062,Both,Nuclear-localized
ITGA8,0.004049138,0.578331327,0.011336674,1.231802909,-1,-0.653471582,Both,Non-nuclear-localized
SHROOM3,0.031855371,1.620840042,1.10E-06,0.674101922,-1,0.94673812,Both,Non-nuclear-localized
SVIL,0.046596554,1.762417554,0.029946939,0.767147281,-1,0.995270273,Both,Nuclear-localized
ITGAL,0.023317804,1.999504455,0.006998604,0.685363531,-1,1.314140924,Both,Non-nuclear-localized
PTPN2,0.043684356,2.715427253,0.00254734,0.542258916,-1,2.173168337,Both,Nuclear-localized
PTPN11,0.000322238,13.67403638,0.001604238,0.410194619,-1,13.26384176,Both,Nuclear-localized
CDH24,0.000635644,0.34741706,0.047369438,0.795753093,1,-0.448336033,Both,Non-nuclear-localized
RAPGEF2,0.015593075,0.270507653,0.049933072,0.657184082,1,-0.386676428,Both,Non-nuclear-localized
ITGB7,0.000493704,0.440466748,0.009350939,0.777816404,1,-0.337349656,Both,Non-nuclear-localized
PTPRH,0.006546777,1.373902884,0.004012063,1.171060666,1,0.202842217,Both,Non-nuclear-localized
MET,7.92E-05,2.052275288,2.40E-05,1.358724943,1,0.693550345,Both,Non-nuclear-localized
GAB1,0.000552577,3.932098509,0.00194777,1.692195785,1,2.239902724,Both,Non-nuclear-localized
ITGB1,0.236125872,0.440062786,0.090279737,1.523443862,-1,-1.083381075,None,Non-nuclear-localized
ROCK1,0.120591396,0.379942865,0.215644178,1.309717896,-1,-0.929775031,None,Non-nuclear-localized
NUMB,0.797175492,0.838274386,0.093118265,1.712528171,-1,-0.874253785,None,Nuclear-localized
SSH1,0.382168128,0.589533366,0.18176123,1.45850707,-1,-0.868973704,None,Non-nuclear-localized
HAX1,0.086902996,0.319996587,0.653937,1.117506456,-1,-0.797509869,None,Nuclear-localized
