adhesome_gene,corr,tissue
AJAP1,0.291143341,Adipose Tissue
FBLIM1,0.166254495,Adipose Tissue
CDC42,0.29735904,Adipose Tissue
ASAP3,0.444832056,Adipose Tissue
SLC9A1,0.340858461,Adipose Tissue
WASF2,0.200961188,Adipose Tissue
EPB41,0.268910134,Adipose Tissue
PTPRU,0.223128732,Adipose Tissue
FABP3,0.235186191,Adipose Tissue
MACF1,0.557360404,Adipose Tissue
PTPRF,-0.100497247,Adipose Tissue
TSPAN1,0.20036063,Adipose Tissue
ITGB3BP,0.400013296,Adipose Tissue
NEXN,0.133651693,Adipose Tissue
SSX2IP,0.322651012,Adipose Tissue
BCAR3,0.115756438,Adipose Tissue
VAV3,0.335763238,Adipose Tissue
RAP1A,0.283119865,Adipose Tissue
CAPZA1,0.263033123,Adipose Tissue
ITGA10,0.095523798,Adipose Tissue
HAX1,-0.038712028,Adipose Tissue
SHC1,0.068797816,Adipose Tissue
ARHGEF2,0.350112662,Adipose Tissue
CSRP1,0.281188414,Adipose Tissue
PTPN14,0.235854416,Adipose Tissue
CAPN2,0.474275305,Adipose Tissue
ENAH,0.463309884,Adipose Tissue
ARF1,0.14306384,Adipose Tissue
RHOU,0.053011913,Adipose Tissue
ACP1,0.353882342,Adipose Tissue
ASAP2,0.547826297,Adipose Tissue
ITGB1BP1,-0.00691518,Adipose Tissue
SDC1,-0.0933566,Adipose Tissue
SOS1,0.403309883,Adipose Tissue
SPTBN1,0.187776171,Adipose Tissue
CTNNA2,0.267304054,Adipose Tissue
FHL2,0.309402638,Adipose Tissue
NCK2,0.340041066,Adipose Tissue
LIMS1,0.353768081,Adipose Tissue
ACTR3,0.40983619,Adipose Tissue
LIMS2,0.128540818,Adipose Tissue
PKP4,0.407929952,Adipose Tissue
ITGB6,0.031649456,Adipose Tissue
ITGA6,0.308332698,Adipose Tissue
ITGA4,0.53292896,Adipose Tissue
ITGAV,0.335465212,Adipose Tissue
CASP8,0.343798745,Adipose Tissue
ABI2,0.598235449,Adipose Tissue
NRP2,0.452537772,Adipose Tissue
