adhesome_gene,corr,tissue
ITGA8,0.188017176,Eye
ITGA9,-0.046624914,Eye
ITGA1,0.087846145,Eye
ITGA2,0.067529355,Eye
ITGA3,-0.268695218,Eye
ITGA4,-0.041495849,Eye
ITGA5,-0.297859933,Eye
ITGA6,-0.025802338,Eye
ITGA7,-0.189130966,Eye
ITGAX,-0.120667621,Eye
ITGAV,0.08269313,Eye
ITGAL,-0.140207565,Eye
ITGAM,-0.054605679,Eye
ITGAD,-0.076734134,Eye
ITGAE,0.047866329,Eye
PTPN12,0.264982679,Eye
PTPN11,-0.006262961,Eye
PTPN14,0.151835069,Eye
SH3KBP1,0.041363728,Eye
SORBS1,0.353903628,Eye
SORBS3,0.076094168,Eye
SORBS2,0.249886636,Eye
ADAM10,0.28571083,Eye
ADAM12,0.067043396,Eye
NDEL1,0.196634818,Eye
ABI2,0.285968122,Eye
ABI3,-0.119039974,Eye
ABI1,0.084176756,Eye
SRCIN1,-0.115847187,Eye
RASA1,0.10798041,Eye
ACTN4,-0.002635785,Eye
EZR,-0.07078985,Eye
SIPA1L3,-0.247056367,Eye
PPFIA1,0.168385902,Eye
RAPGEF1,-0.021933072,Eye
RAPGEF2,0.180962946,Eye
TUBA1B,-0.204121384,Eye
CALR,0.043470025,Eye
PFN1,-0.049276822,Eye
SSX2IP,0.010229847,Eye
CYTH2,0.040132018,Eye
CDH20,0.014220751,Eye
CDH24,-0.098478505,Eye
FAT1,0.022901071,Eye
SOS1,0.22469028,Eye
CBLL1,0.062052409,Eye
KRIT1,0.262556523,Eye
SCRIB,-0.067300165,Eye
LYN,-0.030648458,Eye
VAV1,-0.224514499,Eye
VAV3,0.274666584,Eye
VAV2,0.022072067,Eye
FERMT2,0.303104822,Eye
FERMT3,0.115962302,Eye
FERMT1,-0.21040359,Eye
CRKL,0.084636653,Eye
NRP1,0.111124574,Eye
NRP2,-0.035985075,Eye
AGAP2,-0.139621411,Eye
ROCK1,0.19826123,Eye
PLD1,-0.014783296,Eye
DOCK1,0.180066631,Eye
ITGB1,0.12389714,Eye
ITGB3,-0.132215487,Eye
ITGB2,-0.031639154,Eye
ITGB5,-0.20276606,Eye
ITGB4,0.32422251,Eye
ITGB7,0.003740555,Eye
ITGB6,-0.006357536,Eye
ITGB8,0.350135202,Eye
ITGA10,0.226226082,Eye
ITGA11,0.025730288,Eye
LRP1,-0.308609137,Eye
SIRPA,-0.021798526,Eye
TGFB1I1,-0.069560451,Eye
SHARPIN,-0.014372917,Eye
CAPZA1,-0.116684116,Eye
LIN7A,0.068921149,Eye
PVR,-0.292276801,Eye
MAPK1,0.145042897,Eye
MAPK8,0.378011706,Eye
NEDD9,0.227303238,Eye
DIAPH1,-0.179008325,Eye
PARD3,0.02251814,Eye
CDH11,0.374563372,Eye
CDH10,0.114740983,Eye
CDH12,0.056199344,Eye
CDH15,0.118290989,Eye
CDH19,0.308836867,Eye
CDH18,0.159600355,Eye
ABL1,-0.162012657,Eye
