adhesome_gene,corr,tissue,study
AJAP1,0.037412357,Uterus,GTEx
FBLIM1,-0.199517404,Uterus,GTEx
CDC42,0.076893102,Uterus,GTEx
ASAP3,0.047529991,Uterus,GTEx
SLC9A1,0.059122307,Uterus,GTEx
WASF2,0.056751009,Uterus,GTEx
EPB41,0.23225783,Uterus,GTEx
PTPRU,0.054302393,Uterus,GTEx
FABP3,-0.084955816,Uterus,GTEx
MACF1,0.06170185,Uterus,GTEx
PTPRF,0.321623262,Uterus,GTEx
TSPAN1,0.059347944,Uterus,GTEx
ITGB3BP,0.22948755,Uterus,GTEx
NEXN,-0.069024326,Uterus,GTEx
SSX2IP,0.122890644,Uterus,GTEx
BCAR3,-0.084868661,Uterus,GTEx
VAV3,-0.06409366,Uterus,GTEx
RAP1A,-0.237771875,Uterus,GTEx
CAPZA1,-0.072145928,Uterus,GTEx
ITGA10,-0.002122244,Uterus,GTEx
HAX1,-0.198557626,Uterus,GTEx
SHC1,0.126262857,Uterus,GTEx
ARHGEF2,-0.073542396,Uterus,GTEx
CSRP1,-0.086972596,Uterus,GTEx
PTPN14,0.090125913,Uterus,GTEx
CAPN2,0.029287701,Uterus,GTEx
ENAH,-0.069973831,Uterus,GTEx
ARF1,-0.074157686,Uterus,GTEx
RHOU,-0.094021787,Uterus,GTEx
ACP1,-0.006015407,Uterus,GTEx
ASAP2,0.332859784,Uterus,GTEx
ITGB1BP1,-0.256604178,Uterus,GTEx
SDC1,0.066376368,Uterus,GTEx
SOS1,0.180505417,Uterus,GTEx
SPTBN1,0.067478433,Uterus,GTEx
CTNNA2,-0.017951739,Uterus,GTEx
FHL2,-0.097849688,Uterus,GTEx
NCK2,-0.282851409,Uterus,GTEx
LIMS1,-0.19232367,Uterus,GTEx
ACTR3,0.010522042,Uterus,GTEx
LIMS2,-0.168221062,Uterus,GTEx
PKP4,-0.105418296,Uterus,GTEx
ITGB6,0.052618002,Uterus,GTEx
ITGA6,0.179341073,Uterus,GTEx
