"gene","bicor","XIST_group","sample_type"
"ABI1",-0.23009397139658,"High XIST","Normal Tissue"
"ABI1",0.363474704897879,"Low XIST","Normal Tissue"
"ABI2",-0.270113644787794,"High XIST","Normal Tissue"
"ABI2",-0.207167570789765,"Low XIST","Normal Tissue"
"ABI3",-0.095398751828858,"High XIST","Normal Tissue"
"ABI3",0.108700899095535,"Low XIST","Normal Tissue"
"ABL1",-0.329816003409967,"High XIST","Normal Tissue"
"ABL1",-0.526625557877744,"Low XIST","Normal Tissue"
"ACP1",0.193213168337688,"High XIST","Normal Tissue"
"ACP1",-0.0729073343913051,"Low XIST","Normal Tissue"
"ACTB",-0.453432972973501,"High XIST","Normal Tissue"
"ACTB",0.228108453452284,"Low XIST","Normal Tissue"
"ACTN1",-0.443461822578608,"High XIST","Normal Tissue"
"ACTN1",0.103912448019956,"Low XIST","Normal Tissue"
"ACTN4",-0.510396919542114,"High XIST","Normal Tissue"
"ACTN4",-0.15322256521723,"Low XIST","Normal Tissue"
"ACTR3",-0.144748576729459,"High XIST","Normal Tissue"
"ACTR3",0.304557845085574,"Low XIST","Normal Tissue"
"ADAM10",0.0439917989697694,"High XIST","Normal Tissue"
"ADAM10",0.223518686875422,"Low XIST","Normal Tissue"
"ADAM12",0.129343318073592,"High XIST","Normal Tissue"
"ADAM12",-0.178482849587369,"Low XIST","Normal Tissue"
"ADAM9",-0.350505545908245,"High XIST","Normal Tissue"
"ADAM9",-0.189699239134881,"Low XIST","Normal Tissue"
"ADD1",-0.593744368669713,"High XIST","Normal Tissue"
"ADD1",0.0344900289919998,"Low XIST","Normal Tissue"
"AGAP2",0.074011739172247,"High XIST","Normal Tissue"
"AGAP2",0.504820337215301,"Low XIST","Normal Tissue"
"AJAP1",-0.035961283769826,"High XIST","Normal Tissue"
"AJAP1",-0.092420317910997,"Low XIST","Normal Tissue"
"AKAP5",-0.2287406221788,"High XIST","Normal Tissue"
"AKAP5",0.227710807620709,"Low XIST","Normal Tissue"
"AKT1",-0.260918963247195,"High XIST","Normal Tissue"
"AKT1",-0.093905557153093,"Low XIST","Normal Tissue"
"ANK3",0.0562241415254289,"High XIST","Normal Tissue"
"ANK3",-0.131186417490441,"Low XIST","Normal Tissue"
"ANKRD28",0.0576904013790768,"High XIST","Normal Tissue"
"ANKRD28",-0.0408191996044977,"Low XIST","Normal Tissue"
"ARF1",-0.0614178590164911,"High XIST","Normal Tissue"
"ARF1",0.27053847927437,"Low XIST","Normal Tissue"
"ARF6",0.0527670304246815,"High XIST","Normal Tissue"
"ARF6",0.118335742536763,"Low XIST","Normal Tissue"
"ARHGAP12",-0.102209988015782,"High XIST","Normal Tissue"
"ARHGAP12",-0.240703984872653,"Low XIST","Normal Tissue"
"ARHGAP21",-0.363117926306211,"High XIST","Normal Tissue"
"ARHGAP21",-0.239343551012395,"Low XIST","Normal Tissue"
"ARHGAP24",-0.125171803352803,"High XIST","Normal Tissue"
"ARHGAP24",0.0215472215668922,"Low XIST","Normal Tissue"
"ARHGAP26",-0.0176653326479196,"High XIST","Normal Tissue"
"ARHGAP26",0.512530852485092,"Low XIST","Normal Tissue"
"ARHGAP32",-0.0187429535460095,"High XIST","Normal Tissue"
"ARHGAP32",-0.14297547589778,"Low XIST","Normal Tissue"
"ARHGAP35",0.0696078783174189,"High XIST","Normal Tissue"
"ARHGAP35",-0.167293488378379,"Low XIST","Normal Tissue"
"ARHGAP5",-0.209011954245579,"High XIST","Normal Tissue"
"ARHGAP5",-0.233616808927392,"Low XIST","Normal Tissue"
"ARHGEF12",-0.197116618643047,"High XIST","Normal Tissue"
"ARHGEF12",-0.232168413455603,"Low XIST","Normal Tissue"
"ARHGEF2",-0.402219436525031,"High XIST","Normal Tissue"
"ARHGEF2",0.354394037411031,"Low XIST","Normal Tissue"
"ARHGEF6",-0.618500863425772,"High XIST","Normal Tissue"
"ARHGEF6",0.135419679711656,"Low XIST","Normal Tissue"
