"XIST_group","RNAss","sample_type"
"High XIST",0.178239825291056,"Normal Tissue"
"High XIST",0.0733513853928236,"Normal Tissue"
"High XIST",0.0776644081421158,"Normal Tissue"
"Low XIST",0.438665912169098,"Normal Tissue"
"High XIST",0.90398198642004,"Normal Tissue"
"Low XIST",0.494232052752091,"Normal Tissue"
"Low XIST",0.262853118552782,"Normal Tissue"
"Low XIST",0.40045892263677,"Normal Tissue"
"Low XIST",0.463367561236587,"Normal Tissue"
"High XIST",0.243382925732104,"Normal Tissue"
"High XIST",0.181218622521807,"Normal Tissue"
"High XIST",0.0498448612159729,"Normal Tissue"
"High XIST",0.125209873183533,"Normal Tissue"
"Low XIST",0.426396234718234,"Normal Tissue"
"High XIST",0.127550724773073,"Normal Tissue"
"Low XIST",0.465073544020309,"Normal Tissue"
"Low XIST",0.469783060147995,"Normal Tissue"
"High XIST",0.143664407862346,"Normal Tissue"
"High XIST",0.0747557638743366,"Normal Tissue"
"High XIST",0.0345220860476451,"Normal Tissue"
"High XIST",0.343695177830205,"Normal Tissue"
"Low XIST",0.494339616991206,"Normal Tissue"
"High XIST",0.327091453209846,"Normal Tissue"
"Low XIST",0.298286188858424,"Normal Tissue"
"Low XIST",0.404703267075769,"Normal Tissue"
"High XIST",0.212066331326407,"Normal Tissue"
"High XIST",0.198770683247211,"Normal Tissue"
"Low XIST",0.403869569733312,"Normal Tissue"
"Low XIST",0.247870367806595,"Normal Tissue"
"Low XIST",0.164299904744255,"Normal Tissue"
"Low XIST",0.411913219631924,"Normal Tissue"
"High XIST",0.875086299538924,"Normal Tissue"
"Low XIST",0.484774170394,"Normal Tissue"
"High XIST",0.187604449344677,"Normal Tissue"
"High XIST",0.146067999558596,"Normal Tissue"
"High XIST",0.23555955469955,"Normal Tissue"
"High XIST",0.155095538502544,"Normal Tissue"
"High XIST",0.0937727355250761,"Normal Tissue"
"High XIST",0.099551478797944,"Normal Tissue"
"High XIST",0.932538865600692,"Normal Tissue"
"Low XIST",0.487183493481105,"Normal Tissue"
"High XIST",0.336045794411216,"Normal Tissue"
