"gene_name","log2FoldChange","padj","cell_line","deg","delabel"
"PLEC",0.448486021,0.087180448,"X7","none",NA
"OSTF1",0.656377435,0.001240927,"X7","upregulated","OSTF1"
"ASAP3",0.759032464,0.000265234,"X7","upregulated","ASAP3"
"CASP3",0.063081585,0.890291907,"X7","none",NA
"RNF5",-0.463363036,0.209287347,"X7","none",NA
"CTNND1",-0.490186867,0.027446098,"X7","none",NA
"DLC1",-2.411816218,0.361383631,"X7","none",NA
"SORBS1",0.761305539,0.182421902,"X7","none",NA
"TJP1",-0.212485204,0.227892212,"X7","none",NA
"GRB7",0.204385088,0.575604091,"X7","none",NA
"PEAK1",0.302664239,0.346110039,"X7","none",NA
"CIB2",0.068600184,0.815333776,"X7","none",NA
"RAPGEF2",-0.092469793,0.699310301,"X7","none",NA
"ACTN1",0.443927737,0.002395163,"X7","none",NA
"RDX",-0.080416467,0.625688724,"X7","none",NA
"ARHGAP12",-0.310315106,0.080472328,"X7","none",NA
"RAPGEF1",0.413397125,0.000645141,"X7","none",NA
"PTK2",0.31615221,0.052270253,"X7","none",NA
"TIAM1",0.753809855,0.000252708,"X7","upregulated","TIAM1"
"CLIP1",-0.785536608,8.1e-08,"X7","downregulated","CLIP1"
"JUP",0.672515291,0.006841884,"X7","upregulated","JUP"
"CIB1",0.611714243,9.97e-07,"X7","upregulated","CIB1"
"ANKRD28",0.385668448,0.276927273,"X7","none",NA
"DLG1",1.074230548,5.59e-08,"X7","upregulated","DLG1"
"VCL",0.237339016,0.360647262,"X7","none",NA
"PKP4",-0.267269481,0.08233394,"X7","none",NA
"SHC1",-0.287624464,0.270956151,"X7","none",NA
"ENAH",0.356150527,0.043288666,"X7","none",NA
"SH2B1",0.138660472,0.553987913,"X7","none",NA
"PLEKHA7",-2.702399637,2.07e-15,"X7","downregulated","PLEKHA7"
"PARVA",-0.064938596,0.791971885,"X7","none",NA
"ITGA2",-0.232151699,0.539925339,"X7","none",NA
"CDC42",0.123555962,0.572239995,"X7","none",NA
"NEDD9",1.205851652,0.376987769,"X7","none",NA
"ITGB3BP",-0.106116655,0.710608663,"X7","none",NA
"SSX2IP",-0.033080302,0.911144733,"X7","none",NA
"ARHGEF7",0.089706176,0.70062288,"X7","none",NA
"KRIT1",0.088899522,0.610798077,"X7","none",NA
"AGAP2",0.776410518,0.378780941,"X7","none",NA
"CSRP1",1.989794409,0.000702435,"X7","upregulated","CSRP1"
"CEACAM1",-0.375704566,0.804909919,"X7","none",NA
"TSPAN1",2.56157373,3.74e-20,"X7","upregulated","TSPAN1"
"EZR",0.058606183,0.905212372,"X7","none",NA
"NUDT16L1",0.16287114,0.651223485,"X7","none",NA
"KTN1",0.122940683,0.71538757,"X7","none",NA
"ADD1",0.183047235,0.136580158,"X7","none",NA
"PFN1",-0.211285037,0.250945401,"X7","none",NA
"ITGB1BP1",0.600824597,0.000157821,"X7","upregulated","ITGB1BP1"
"PRNP",-0.118360869,0.746259772,"X7","none",NA
"VEZT",-0.186619173,0.532285626,"X7","none",NA
"TRPM7",-0.089550504,0.519256971,"X7","none",NA
"CTNND2",-6.780309794,1.45e-05,"X7","downregulated","CTNND2"
"PDE4D",-0.15080994,0.579038876,"X7","none",NA
"ITGAM",-2.072670326,0.044409833,"X7","downregulated","ITGAM"
"RAP1A",0.212504831,0.485164653,"X7","none",NA
"PARVB",0.323635874,0.116229901,"X7","none",NA
"ARF1",0.244117442,0.266230032,"X7","none",NA
"PXN",0.157360235,0.648449776,"X7","none",NA
"PTPN2",-0.238804799,0.18358763,"X7","none",NA
"ITGB3",-0.667446774,0.616456965,"X7","none",NA
"LMO7",0.497955869,0.224252683,"X7","none",NA
"ARHGAP24",9.932558894,1.84e-12,"X7","upregulated","ARHGAP24"
"RNF185",0.097685137,0.811091403,"X7","none",NA
"GIT2",-0.105018568,0.61842001,"X7","none",NA
"PRKACA",1.018290105,0.000850629,"X7","upregulated","PRKACA"
"RAVER1",-0.027572758,0.949723727,"X7","none",NA
"NRP1",1.860809104,0.002910043,"X7","upregulated","NRP1"
"CDH10",8.581740858,8.66e-72,"X7","upregulated","CDH10"
"ILK",0.124532982,0.464293443,"X7","none",NA
"ITGB4",1.174164075,0.110877737,"X7","none",NA
"ARHGAP5",-1.30985235,3.25e-42,"X7","downregulated","ARHGAP5"
"RHOA",0.170292754,0.460203234,"X7","none",NA
"SPTLC1",-0.163027278,0.201346983,"X7","none",NA
"PARD3",0.098729257,0.69971258,"X7","none",NA
"CAPN2",0.000248509,1,"X7","none",NA
"PTK2B",-0.007262248,0.994161718,"X7","none",NA
"PTPRF",-1.457309978,0.091993995,"X7","none",NA
"MAPK8",-0.247187378,0.116229901,"X7","none",NA
"NF2",-0.557326869,0.004484265,"X7","none",NA
"MYO7A",1.46670587,0.591959503,"X7","none",NA
"ZYX",-0.081150948,0.829128438,"X7","none",NA
"ABI1",-0.118531457,0.526987893,"X7","none",NA
"AKT1",0.185985899,0.319330229,"X7","none",NA
"RASA1",-0.365142099,0.121655585,"X7","none",NA
"ARHGEF12",0.002880103,0.994229593,"X7","none",NA
"MPP7",3.131687033,4.83e-28,"X7","upregulated","MPP7"
"EGFR",1.433460691,7.24e-08,"X7","upregulated","EGFR"
"VAV1",-1.492463783,0.472079199,"X7","none",NA
"PLD1",1.375945295,0.000132388,"X7","upregulated","PLD1"
"IQGAP1",0.243174026,0.390427356,"X7","none",NA
"BCAR1",0.348085741,0.065063181,"X7","none",NA
"CTNNA1",0.249540038,0.393827057,"X7","none",NA
"ARHGAP26",-0.650564938,0.204028609,"X7","none",NA
"ARHGEF2",-0.12346002,0.831011492,"X7","none",NA
